,DTYYYYMMDD,BVH,CII,CTG,DPM,EIB,FLC,FPT,GMD,HAG,HCM,HHS,HPG,HSG,HVG,ITA,KBC,KDC,MBB,MSN,NT2,PPC,PVD,PVT,REE,SBT,SSI,STB,VCB,VIC,VNM
0,20160722,57.43,24.72,16.47,22.53,10.8,5.16,24.36,19.18,6.4,12.88,7.51,11.62,16.66,9.6,5.4,15.91,23.56,9.71,42.62,22.29,10.06,22.32,10.31,17.57,23.36,19.18,11.1,36.16,33.73,95.72
1,20160721,57.91,24.91,16.47,22.3,11.5,5.16,24.53,19.33,6.6,13.09,7.97,11.91,16.88,9.8,5.1,15.16,23.23,9.71,42.93,22.29,10.06,22.9,10.38,17.57,22.94,19.6,11.3,38.59,34.07,96.34
2,20160720,58.87,25.11,16.47,22.23,11.8,5.24,24.53,19.47,6.7,13.43,8.25,11.88,18.15,9.9,5.2,15.35,23.56,9.65,42.62,22.16,9.79,22.65,10.31,17.57,23.29,20.2,11.2,38.25,33.73,96.95
3,20160719,61.26,25.2,16.84,22.07,12.0,5.24,24.71,19.69,6.8,13.81,8.43,12.14,19.15,10.0,5.0,15.82,24.07,9.71,42.93,22.68,9.99,23.48,10.46,17.66,23.71,20.54,11.6,38.94,35.08,93.88
4,20160718,61.26,25.49,17.3,22.45,12.3,5.33,25.12,19.84,6.9,13.85,8.53,12.23,19.55,10.0,5.1,15.73,24.4,9.9,43.89,22.8,10.26,24.05,10.38,17.83,23.5,20.2,12.1,38.59,36.43,92.04
5,20160715,59.82,25.15,17.3,22.45,12.3,5.16,25.12,19.69,6.7,13.47,8.34,11.74,18.32,9.9,4.9,15.73,24.24,9.9,42.93,22.09,10.06,23.97,10.17,17.91,23.5,20.03,11.9,37.55,36.77,90.2
6,20160714,59.82,24.68,17.21,22.76,12.0,5.16,25.36,19.84,6.7,13.51,8.34,11.62,18.58,10.0,4.7,15.73,24.24,9.9,42.93,21.77,9.73,24.38,10.17,17.74,23.5,20.11,11.5,38.94,36.09,89.59
7,20160713,59.34,25.15,17.48,22.53,11.3,5.16,25.3,20.27,6.9,14.06,8.43,12.03,19.94,10.0,4.4,15.91,23.9,9.78,42.62,22.29,9.59,24.96,10.31,17.74,23.92,20.54,11.5,39.99,37.11,90.2
8,20160712,58.39,24.87,16.37,22.15,10.8,5.07,25.12,20.27,6.8,13.98,8.34,11.88,19.68,10.0,4.2,15.63,23.65,9.58,42.62,21.97,9.59,24.38,10.38,17.57,22.73,19.94,11.2,37.55,35.08,90.2
9,20160711,56.95,24.87,16.1,21.77,11.1,5.07,25.12,20.34,6.8,13.77,8.25,11.71,19.59,10.0,4.2,15.07,23.56,9.71,42.62,22.09,9.46,23.81,10.03,17.48,22.45,19.6,11.2,36.16,34.41,89.59
