,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
0,20170120,15.87,58.29,29.97,17.26,19.36,4.29,26.7,51.06,20.2,5.09,11.92,6.4,14.47,21.3,3.9,12.96,32.6,9.33,41.0,57.52,19.51,11.66,18.37,21.94,22.27,17.98,9.5,36.4,34.71,95.71
1,20170119,15.68,58.2,29.73,17.02,19.36,4.26,26.46,50.45,20.27,4.97,11.99,6.26,14.22,20.64,3.9,12.64,32.51,9.33,41.33,56.8,19.34,11.8,18.27,22.07,22.0,17.98,9.59,36.4,34.71,94.96
2,20170118,15.68,58.2,29.73,16.68,19.6,4.28,26.46,50.45,20.49,4.96,12.05,6.27,14.27,20.9,3.98,12.73,32.95,9.39,41.67,56.98,19.37,12.19,18.55,22.07,22.27,18.2,9.45,36.68,34.79,94.96
3,20170117,16.01,59.34,30.86,17.02,19.56,4.26,26.82,49.83,20.63,5.06,12.05,6.36,14.4,21.65,3.98,12.73,33.39,9.49,41.8,56.98,19.44,11.8,18.96,21.43,22.27,18.38,9.24,37.31,35.25,95.03
4,20170116,15.06,58.96,30.61,15.91,20.01,4.25,26.58,50.98,20.67,5.08,12.01,6.37,14.4,21.73,4.02,12.73,33.3,9.16,41.8,57.16,19.51,11.66,19.09,21.43,22.27,18.2,8.96,35.77,35.41,95.34
5,20170113,15.48,59.34,31.11,16.0,20.42,4.37,27.12,52.38,20.96,5.08,12.2,6.3,14.82,22.08,4.07,13.34,32.6,9.23,41.8,57.52,19.64,11.53,19.37,21.51,22.73,18.29,8.95,35.87,35.79,95.64
6,20170112,15.72,59.82,30.12,16.28,19.97,4.37,27.75,53.17,20.78,5.21,12.09,6.5,14.97,22.39,4.08,13.39,31.46,9.29,41.8,57.7,19.27,11.8,19.64,21.43,22.27,18.25,9.04,36.3,35.54,95.71
7,20170111,15.82,58.29,31.5,16.37,18.78,4.39,27.84,53.09,20.71,5.18,11.94,6.43,15.09,22.65,4.09,13.48,31.46,9.23,42.2,57.7,19.11,11.94,19.37,21.17,22.64,18.11,9.03,36.83,35.54,95.71
8,20170110,15.34,58.2,31.3,15.63,18.9,4.42,27.78,52.73,19.8,5.22,12.01,6.26,15.04,22.3,4.1,13.34,31.33,9.19,42.47,56.69,18.5,11.8,19.27,20.74,22.64,18.16,9.0,36.78,35.45,95.03
9,20170109,15.44,58.96,31.79,15.82,18.45,4.38,27.3,53.17,19.98,5.23,12.18,6.24,14.8,22.17,4.11,13.24,31.64,9.19,41.73,56.51,18.5,11.66,19.55,21.34,22.73,18.29,8.99,37.07,35.7,94.96
10,20170106,15.01,58.77,30.56,15.4,18.08,4.42,27.15,53.09,19.98,5.36,12.22,6.36,14.88,22.26,4.18,13.48,31.2,9.23,42.13,56.9,18.4,11.32,19.37,21.43,22.82,18.11,8.78,36.3,35.62,94.96
11,20170105,14.67,58.48,29.63,15.26,18.33,4.4,27.24,54.05,19.47,5.4,12.11,6.48,15.12,23.31,4.15,13.57,31.46,9.06,42.07,56.9,18.4,11.84,19.41,21.68,22.91,17.94,8.58,35.58,34.96,95.49
12,20170104,14.72,57.53,29.87,15.17,18.45,4.41,27.33,54.05,19.4,5.5,12.05,6.64,15.09,22.52,3.94,13.2,31.99,9.12,42.33,56.72,18.5,11.87,19.46,21.43,23.09,17.89,8.2,35.44,34.75,95.64
13,20170103,14.44,56.76,29.43,14.89,18.25,4.5,27.09,52.82,19.44,5.35,12.14,6.33,15.09,22.43,3.94,13.06,31.99,9.23,41.6,56.51,18.37,11.8,18.91,21.43,23.64,17.89,8.79,35.68,34.38,95.49
14,20161230,13.53,55.71,27.71,13.92,18.33,4.47,26.58,53.26,19.55,5.35,11.66,6.2,14.8,22.26,3.99,12.96,31.77,9.39,41.22,56.25,18.37,11.6,18.82,21.13,22.27,17.49,9.45,33.95,34.71,94.66
15,20161229,13.63,56.09,27.61,13.88,18.54,4.41,26.24,52.47,19.37,5.36,11.75,6.16,14.82,22.61,4.0,12.92,31.64,8.99,40.64,57.34,18.33,11.49,18.37,21.08,22.82,17.58,9.4,33.95,34.63,96.92
16,20161228,13.77,55.99,27.81,14.06,18.49,4.52,26.33,52.65,19.08,5.36,11.69,6.16,14.95,22.56,3.94,12.82,31.03,8.92,40.52,57.41,18.43,11.25,18.27,21.08,22.91,17.62,9.1,34.1,34.38,94.96
17,20161227,13.82,56.76,27.71,14.06,18.62,4.23,26.06,52.73,19.18,5.35,11.66,6.11,14.8,21.99,3.71,12.87,30.5,8.89,41.34,57.52,18.5,11.31,18.73,21.17,23.18,17.36,8.6,34.48,34.96,94.21
18,20161226,13.91,56.66,27.66,14.01,18.7,4.21,25.79,53.7,19.08,5.46,11.51,6.25,15.02,22.65,3.63,12.92,29.72,8.82,41.54,57.3,18.63,11.31,19.27,20.53,22.27,17.49,8.35,34.58,34.71,92.32
19,20161223,13.91,57.05,27.42,14.06,18.66,4.21,25.76,54.49,19.11,5.51,11.41,6.4,14.73,22.43,3.73,12.68,29.72,8.86,41.54,55.82,18.5,11.31,19.41,20.57,23.18,17.31,8.34,34.1,34.79,93.45
20,20161222,13.91,56.57,27.37,13.97,18.82,4.21,25.7,55.81,19.11,5.53,11.53,6.4,14.58,22.56,3.6,12.5,28.84,8.89,41.54,55.89,18.5,11.25,19.5,20.48,23.54,17.31,8.2,33.43,34.71,92.77
21,20161221,14.2,57.53,27.37,14.06,18.78,4.35,25.67,55.11,19.26,5.61,11.75,6.68,14.37,22.52,3.54,12.54,29.72,8.92,39.69,56.15,18.87,11.55,19.87,20.7,24.09,17.44,8.26,33.47,34.21,95.03
22,20161220,14.06,56.57,27.51,14.11,18.86,4.36,25.7,53.92,19.47,5.64,11.7,6.68,14.16,21.36,3.69,12.92,29.8,8.92,39.37,55.75,18.5,11.45,19.55,20.53,24.27,17.49,8.4,33.47,34.59,93.9
23,20161219,14.06,58.67,27.8,14.15,18.99,4.44,25.79,55.02,19.47,5.9,11.91,7.0,14.23,21.43,3.8,13.29,30.33,8.89,40.39,54.45,18.66,11.25,19.55,20.44,23.64,17.71,8.42,33.67,35.37,97.07
24,20161216,13.96,56.09,28.09,13.88,18.82,4.31,25.43,54.43,19.4,5.78,11.3,6.9,14.34,21.43,3.68,12.73,30.59,8.82,41.34,55.32,18.24,11.18,19.5,20.06,23.18,17.13,8.2,33.62,35.12,97.9
25,20161215,14.29,55.52,27.9,13.74,18.78,4.28,25.28,54.6,19.22,5.73,11.13,6.8,14.16,21.16,3.95,12.82,29.02,8.82,39.5,55.46,18.24,10.98,19.37,19.97,22.27,16.95,8.0,33.52,34.71,96.17
