,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
0,20170721,18.34,59.88,54.65,34.5,178.79,17.93,107.51,19.61,32.76,54.33,29.83,9.01,9.75,17.25,23.13,4.3,14.04,40.2,14.2,41.2,70.54,19.55,12.0,31.9,35.95,22.66,11.7,35.44,35.08,115.74
1,20170720,18.68,63.03,54.75,35.2,185.2,18.32,111.28,19.78,33.18,56.14,30.04,9.1,9.92,17.39,23.4,4.47,14.04,40.2,14.55,41.2,73.09,19.9,12.27,31.9,34.91,22.58,11.8,35.87,35.04,116.12
2,20170719,18.15,66.84,54.85,34.8,191.16,18.22,112.22,19.87,33.25,56.78,30.41,9.08,9.92,17.47,22.97,4.56,14.23,40.2,14.34,41.0,74.25,19.33,12.05,30.94,34.95,22.49,12.05,36.01,34.71,116.89
3,20170718,18.06,66.93,55.61,37.4,192.54,17.93,112.03,20.04,33.89,54.97,30.04,9.07,9.92,17.61,23.48,4.52,14.32,40.38,14.48,41.0,74.32,19.44,11.82,31.63,34.73,22.53,12.1,36.16,34.96,116.12
4,20170717,18.01,71.9,56.38,37.5,196.11,18.12,110.52,20.25,34.03,56.23,30.04,9.22,10.1,18.05,23.91,4.71,14.46,40.47,14.41,40.65,75.05,19.87,12.0,32.31,35.27,22.93,11.7,36.11,35.04,116.05
5,20170714,18.39,74.64,57.72,38.65,197.03,18.65,114.58,20.55,34.53,57.5,30.55,9.4,10.35,18.52,24.69,4.41,15.12,40.86,14.87,41.5,74.18,20.4,12.27,33.36,34.91,23.91,12.1,36.63,35.21,118.49
6,20170713,18.63,77.54,57.43,38.85,197.12,18.99,109.49,20.64,34.64,57.23,30.59,9.56,10.45,18.46,24.69,4.32,15.21,40.86,14.94,41.3,74.61,20.4,12.32,33.45,33.18,23.78,12.4,36.59,35.21,119.41
7,20170712,18.39,79.62,56.76,38.55,195.29,18.8,108.45,20.68,34.0,56.6,30.66,9.25,10.2,18.13,24.65,4.43,15.16,40.9,14.9,41.45,74.54,20.4,12.41,33.04,32.73,23.74,12.6,36.4,35.21,118.72
8,20170711,18.77,79.62,56.09,37.0,195.75,18.9,106.56,20.17,33.75,54.42,30.33,9.2,10.1,18.08,24.81,4.57,15.12,40.55,14.83,41.65,73.81,20.33,12.27,32.81,32.0,23.91,12.6,36.68,34.79,116.89
9,20170710,18.77,81.19,55.8,36.8,196.21,18.9,109.39,19.95,34.18,54.6,30.48,8.8,9.84,18.19,24.77,4.58,15.16,40.29,14.52,41.5,73.81,20.51,12.27,32.86,32.0,23.78,12.85,36.49,33.97,115.89
10,20170707,19.25,81.69,55.99,37.4,197.12,19.18,113.26,20.04,34.46,54.97,31.2,9.0,10.0,18.13,25.32,4.6,15.54,40.64,14.97,41.75,74.9,20.79,12.18,33.9,32.14,24.54,13.0,37.07,34.71,117.8
11,20170706,19.34,82.52,55.52,37.85,199.42,19.52,114.96,20.38,33.96,54.97,31.64,9.1,10.2,18.3,25.75,4.94,15.87,41.52,15.25,41.45,74.69,21.08,12.59,34.13,32.09,25.52,13.45,37.69,35.04,120.33
12,20170705,19.44,81.69,55.52,37.7,198.04,19.67,114.86,20.21,33.11,54.42,31.82,9.18,10.25,18.08,25.55,4.62,15.96,41.69,15.22,41.3,74.69,20.93,12.73,34.27,32.09,25.25,13.45,37.21,34.71,119.64
13,20170704,19.34,80.69,55.13,37.0,195.75,19.62,114.01,20.21,33.04,53.43,31.02,9.22,10.4,18.13,25.67,4.32,16.01,41.65,15.39,41.4,75.27,20.93,12.77,33.63,32.04,25.21,13.2,37.07,34.71,119.56
14,20170703,19.72,81.19,55.61,37.25,193.91,19.91,115.05,20.34,32.9,53.97,31.17,9.1,10.35,18.13,25.9,4.04,15.77,40.64,15.57,41.5,74.76,20.68,12.77,33.31,31.91,24.94,13.6,37.26,34.96,119.94
15,20170630,19.44,82.1,55.04,37.2,198.5,19.52,117.22,20.12,33.22,52.79,31.13,9.48,10.75,17.58,25.32,3.9,15.77,40.64,15.6,42.0,74.83,20.29,12.59,33.63,31.86,24.67,13.8,36.87,35.29,120.4
16,20170629,19.34,82.52,55.13,36.5,200.61,19.43,117.22,19.78,32.97,51.89,31.67,9.6,10.9,17.12,24.93,3.98,15.82,40.16,15.6,42.4,73.45,20.26,12.73,33.81,31.91,24.54,14.1,36.59,35.0,118.26
17,20170628,19.01,82.6,55.13,35.5,200.52,19.43,117.13,19.65,32.86,51.89,31.56,9.49,10.7,16.87,24.89,3.94,15.73,40.03,15.25,41.6,73.09,20.47,12.77,33.72,32.0,24.45,14.2,36.44,35.08,118.72
18,20170627,18.96,84.09,54.85,35.2,200.33,19.28,115.99,19.74,32.4,51.07,31.35,9.35,10.55,16.84,24.93,3.93,15.82,40.03,15.18,41.6,73.67,20.61,12.46,33.04,32.09,24.05,14.35,36.63,35.21,117.27
19,20170626,19.25,84.59,55.42,36.0,199.87,19.52,113.16,19.57,33.11,50.72,32.29,9.7,11.0,16.95,25.32,3.68,16.1,40.9,15.18,42.2,74.9,20.61,12.73,33.45,32.04,24.49,14.2,36.87,35.37,117.19
20,20170623,18.96,84.59,55.61,36.75,200.33,19.28,118.35,19.65,33.64,50.45,32.8,9.78,11.15,16.92,25.28,3.44,16.01,40.69,15.04,41.15,74.83,20.83,11.91,33.22,32.64,24.36,14.2,36.49,34.75,116.89
21,20170622,18.91,81.52,55.32,37.55,197.31,19.23,120.71,19.44,33.75,50.72,32.14,9.56,10.8,16.9,25.28,3.39,16.01,40.69,15.18,41.6,73.45,20.97,11.82,33.13,32.91,24.4,14.3,36.49,34.79,116.81
22,20170621,19.34,81.69,55.52,37.85,197.12,19.52,121.65,19.27,33.68,51.34,31.38,9.15,10.3,16.81,24.77,3.4,15.91,40.82,15.32,42.0,71.05,20.97,12.14,33.4,33.14,24.45,14.6,37.02,35.37,117.5
23,20170620,19.58,83.76,56.09,38.3,198.22,20.15,120.71,19.44,32.72,51.7,31.56,9.06,10.25,16.98,24.81,3.45,16.1,40.99,14.97,42.9,70.54,21.11,12.77,32.49,32.73,24.58,14.55,37.83,34.96,116.89
