,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KBC,KDC,MBB,MSN,MWG,NT2,NVL,PVD,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VNM
0,20180119,26.45,71.02,73.42,37.5,198.1,25.3,100.58,20.54,42.64,92.13,32.07,32.8,19.96,12.92,41.12,21.06,87.5,92.72,26.38,61.53,23.82,37.37,139.83,245.64,21.18,30.18,15.45,59.69,69.42,160.35
1,20180118,26.65,70.43,70.11,37.1,197.16,25.5,99.43,20.72,42.71,93.16,31.78,30.77,19.93,13.2,40.21,21.21,92.0,94.18,26.38,59.92,24.73,37.73,138.58,247.85,21.18,29.25,15.0,57.25,69.75,160.35
2,20180117,26.55,70.85,68.16,36.4,200.92,25.2,102.22,20.36,42.71,92.97,31.49,29.45,19.93,13.1,39.49,20.76,90.2,93.09,26.23,59.47,24.55,37.37,137.33,248.04,19.95,28.32,14.3,54.99,69.42,156.85
3,20180116,27.24,71.86,70.11,38.0,202.98,26.6,105.02,20.72,44.16,96.32,32.9,30.77,21.41,13.29,39.49,21.17,92.4,95.19,26.67,59.47,25.73,38.78,135.42,249.01,21.0,29.58,14.95,58.71,71.07,162.46
4,20180115,26.85,70.0,71.08,38.3,207.39,26.1,106.08,19.91,44.16,95.11,32.9,30.0,22.39,13.85,39.54,20.99,92.8,94.9,26.93,59.54,25.37,38.78,138.17,250.45,20.64,29.67,15.35,58.71,72.07,162.62
5,20180112,26.8,69.84,67.38,38.0,207.49,25.6,104.44,19.51,43.58,93.53,32.94,28.63,21.41,14.04,39.4,20.39,93.0,94.69,26.67,57.79,25.18,38.73,138.17,247.28,21.14,29.07,15.5,56.76,70.58,163.71
6,20180111,27.14,70.43,68.65,38.45,204.67,25.65,105.6,19.82,44.52,96.04,33.37,28.41,21.53,14.32,39.4,20.87,90.0,95.92,25.71,57.25,25.55,39.65,136.92,247.56,22.14,28.14,16.25,57.54,66.94,163.79
7,20180110,26.99,70.51,68.55,39.0,210.3,25.5,105.6,20.0,44.52,95.85,32.58,28.41,21.53,14.37,40.12,20.58,87.0,96.5,25.49,55.73,25.78,39.92,135.42,246.14,21.64,28.18,15.6,56.76,66.78,164.57
8,20180109,26.94,70.76,69.43,38.2,212.18,25.7,104.44,19.64,44.96,94.92,32.29,29.07,21.14,14.13,40.12,20.54,90.0,95.63,25.05,54.96,24.09,39.65,140.67,247.56,21.0,27.67,14.85,57.25,66.61,161.45
9,20180108,27.39,70.85,65.63,38.2,211.24,25.7,103.57,19.51,44.09,93.43,31.85,27.2,19.77,13.9,40.31,20.36,88.8,95.49,25.05,53.13,22.73,39.01,139.33,247.56,20.82,27.39,14.55,54.21,66.36,163.79
10,20180105,26.94,70.0,64.46,37.6,213.59,25.1,105.21,19.55,43.44,93.43,30.84,26.37,19.69,13.57,40.12,19.39,84.7,97.01,25.13,52.06,22.68,38.73,138.08,250.69,19.54,26.84,13.6,52.84,66.12,166.52
11,20180104,27.09,72.28,65.92,37.8,215.94,25.7,109.65,19.96,44.16,94.92,30.7,26.48,20.12,13.53,40.12,19.54,82.5,98.1,25.57,51.6,22.73,39.37,136.67,253.73,19.32,27.95,13.6,54.21,66.94,167.53
12,20180103,26.35,72.53,65.24,37.05,213.12,24.8,110.32,19.91,43.29,90.64,30.7,26.15,19.77,13.29,39.67,19.5,82.5,97.89,25.75,51.07,22.18,39.28,135.0,251.36,18.82,28.04,13.35,53.72,66.53,166.83
13,20180102,26.55,74.05,66.41,36.8,213.59,24.95,110.9,19.42,43.29,88.69,29.9,26.21,19.26,12.78,38.04,19.69,80.0,95.99,25.2,50.0,20.91,39.37,141.25,239.31,18.54,27.02,13.4,53.82,64.63,164.96
14,20171229,25.08,72.2,63.58,35.1,212.65,24.2,110.9,19.29,41.34,90.64,29.07,25.74,19.14,12.54,35.78,18.84,76.7,95.27,24.68,49.69,21.23,37.82,151.42,236.46,18.91,26.74,12.85,53.14,63.88,162.69
15,20171228,24.34,71.27,66.02,34.85,209.36,24.25,112.16,19.02,41.41,91.85,28.89,25.16,18.83,12.54,35.5,19.02,75.7,95.12,23.8,48.32,21.82,37.28,141.67,236.37,18.54,26.6,12.95,52.94,63.97,160.04
16,20171227,23.99,66.63,64.66,34.7,205.61,23.3,106.86,18.48,41.05,91.95,28.74,24.95,18.75,12.54,35.05,18.61,75.0,94.54,24.17,47.71,21.82,37.18,139.42,239.21,18.68,25.72,12.85,51.37,63.8,158.71
17,20171226,23.7,67.9,64.27,34.85,205.61,23.15,108.76,18.34,41.34,90.74,29.14,24.12,18.87,12.5,35.14,18.54,75.5,95.99,24.02,47.18,21.68,37.91,137.92,243.77,18.59,26.0,12.6,50.3,64.46,157.09
18,20171225,23.4,69.08,63.78,34.2,205.61,22.2,108.47,18.39,41.7,87.76,28.31,24.09,18.6,12.36,34.64,18.54,74.2,95.27,23.58,47.02,21.23,36.68,136.25,250.98,18.36,25.86,12.35,50.3,64.46,154.84
19,20171222,23.45,70.17,60.08,35.05,201.2,22.3,109.43,18.88,41.34,86.64,28.67,24.37,18.52,12.59,34.78,18.72,73.9,95.99,24.24,46.95,20.96,37.18,135.0,238.08,18.64,25.58,12.55,49.71,62.48,157.09
20,20171221,23.8,70.68,58.91,35.7,204.67,22.1,108.0,19.02,40.83,85.99,28.96,24.23,18.99,12.64,34.73,18.5,73.2,94.18,23.95,46.87,20.73,38.01,133.58,236.37,18.64,25.63,12.3,47.46,60.33,157.86
21,20171220,24.09,70.17,58.23,35.0,204.67,22.45,108.47,18.88,40.76,85.71,29.14,24.18,18.99,12.87,34.73,18.46,76.1,96.72,24.31,46.95,21.55,38.73,139.58,253.73,18.77,26.0,12.55,47.95,60.74,156.39
22,20171219,23.7,71.94,58.52,35.5,210.21,22.05,110.85,19.27,39.96,84.13,29.21,23.96,19.22,12.31,34.64,18.2,76.0,97.45,24.31,46.95,21.0,38.92,130.5,272.79,19.18,25.86,12.55,46.73,60.74,157.16
23,20171218,23.95,75.15,56.87,35.5,212.65,22.5,109.43,18.84,40.76,86.08,29.9,23.63,19.22,12.31,35.14,18.32,75.5,95.99,24.76,47.02,20.09,37.23,122.0,293.28,19.36,25.54,12.75,46.77,61.16,158.71
24,20171215,23.9,75.57,55.5,34.75,212.18,21.9,107.52,18.37,40.9,80.96,29.43,22.91,19.14,12.45,35.32,17.98,71.7,95.99,23.54,47.25,20.0,37.37,114.08,293.28,19.18,25.17,12.7,45.01,58.02,152.52
25,20171214,24.04,75.91,55.7,34.0,208.52,22.0,107.05,18.24,40.47,79.85,29.32,22.34,18.67,12.4,35.28,17.8,73.1,94.18,23.95,47.02,19.27,36.91,122.58,293.09,19.04,24.75,12.5,44.33,59.5,155.62
26,20171213,23.5,74.64,55.99,33.65,204.86,20.85,107.05,18.24,39.6,80.59,28.67,22.14,18.64,11.98,35.32,17.24,71.6,90.25,23.39,47.56,19.46,35.91,121.83,297.83,18.95,24.33,12.0,43.06,59.5,150.82
27,20171212,23.7,73.72,55.99,34.0,204.76,21.4,102.48,17.98,38.88,80.96,29.1,21.81,18.44,12.5,35.05,17.8,72.2,91.99,23.98,47.71,18.87,35.0,121.0,296.88,18.86,24.56,12.45,43.74,58.84,150.58
28,20171211,23.6,72.53,56.96,33.95,201.85,21.4,101.05,18.07,38.73,77.43,29.9,22.09,18.36,12.82,35.87,17.8,72.0,92.5,24.54,46.95,17.68,35.0,120.17,277.91,18.64,23.96,12.3,43.64,59.5,147.87
29,20171208,24.58,75.06,60.47,34.0,201.01,23.0,101.81,18.24,40.18,79.75,30.84,22.64,19.46,13.39,36.41,18.46,71.9,93.81,24.76,47.56,17.68,34.95,127.92,293.09,19.36,25.26,12.95,46.04,60.33,145.63
