,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KDC,MBB,MSN,MWG,NT2,NVL,PLX,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VJC,VNM
0,20180720,24.98,48.97,69.13,27.7,141.77,24.7,97.05,16.5,35.53,78.71,21.85,28.23,10.59,29.89,21.0,79.1,83.71,22.56,55.4,53.92,31.05,41.1,192.28,13.36,27.07,11.0,55.58,103.6,128.06,133.34
1,20180719,25.37,48.35,73.52,28.3,142.24,24.4,99.28,16.69,36.3,80.14,22.21,28.62,10.5,30.34,20.37,79.1,85.04,23.12,55.8,55.36,31.71,44.0,206.7,13.73,26.84,11.0,55.58,105.0,136.86,134.12
2,20180718,25.72,47.37,71.96,27.55,140.36,24.9,98.8,16.79,36.64,78.99,22.65,28.62,9.82,30.34,20.82,76.0,83.34,23.25,54.8,54.78,31.14,44.0,209.49,13.73,27.12,11.2,56.27,105.0,131.49,132.94
3,20180717,24.49,46.93,71.08,27.5,137.07,24.0,99.28,16.36,35.78,75.19,22.3,27.77,9.18,30.12,20.15,74.5,82.61,22.86,52.1,51.9,29.15,44.9,209.59,13.77,25.82,10.75,54.6,104.0,129.14,132.08
4,20180716,23.75,47.2,73.61,27.8,136.6,22.8,98.6,16.26,34.93,77.28,21.81,27.31,9.09,29.89,19.29,74.2,79.07,22.99,51.8,52.28,28.81,44.7,209.49,13.86,25.35,10.5,53.72,102.5,129.04,132.16
5,20180713,23.11,47.2,72.35,27.7,133.32,22.6,96.57,16.17,34.67,77.85,21.36,27.38,9.14,29.89,18.75,74.9,77.44,22.86,51.4,51.9,28.67,44.15,209.59,13.77,25.49,10.45,53.62,103.0,128.06,130.82
6,20180712,22.62,46.05,70.6,28.2,130.97,21.8,96.86,15.84,33.14,75.19,21.14,25.96,9.06,30.12,18.21,74.0,75.23,23.43,50.8,51.42,28.15,41.3,209.68,13.68,24.24,10.15,51.28,103.0,127.48,132.39
7,20180711,21.73,46.14,69.62,26.45,130.13,20.9,95.89,15.79,33.48,74.05,21.05,26.46,8.86,30.16,17.49,74.0,74.49,23.75,50.6,51.9,28.39,40.5,211.51,13.64,24.14,10.0,50.1,104.5,127.77,131.37
8,20180710,23.26,48.79,70.11,26.65,133.32,22.35,97.73,16.45,34.5,76.14,21.36,27.31,9.18,30.21,18.57,74.2,77.37,23.83,50.5,52.86,29.1,41.65,211.51,13.91,25.68,10.4,51.96,103.0,130.51,131.37
9,20180709,22.91,49.77,72.25,25.4,132.38,22.1,95.99,15.93,34.29,75.66,21.63,27.46,9.46,30.16,18.39,74.2,77.44,23.51,51.1,52.86,28.96,41.4,212.18,13.91,25.82,10.4,52.84,105.0,127.58,131.37
