,DTYYYYMMDD,BMP,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KDC,MBB,MSN,MWG,NVL,PLX,PNJ,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VJC,VNM,VPB,VRE
0,20190125,44.1,22.9,127.52,20.2,83.07,20.77,37.06,86.89,24.93,22.85,6.09,19.53,19.06,78.3,81.79,57.0,51.71,68.16,31.24,34.6,227.43,19.63,25.08,12.3,55.31,102.9,121.43,131.0,20.05,28.36
1,20190124,44.19,23.95,127.52,20.45,82.19,21.39,37.1,87.18,24.83,22.96,5.91,19.34,19.11,78.0,82.19,57.1,51.13,67.19,31.24,35.0,227.43,19.53,24.46,12.2,54.91,102.8,116.97,130.61,20.2,28.36
2,20190123,44.19,23.35,132.95,19.95,81.99,21.67,37.01,87.38,24.97,23.12,5.87,19.01,18.66,78.0,82.19,57.2,51.13,67.04,30.76,35.15,228.21,19.63,24.36,12.15,54.91,102.6,114.49,129.65,19.9,28.27
3,20190122,43.83,22.65,138.67,19.55,82.77,21.62,37.01,87.09,24.55,22.69,5.86,19.72,18.57,80.1,82.38,56.9,51.42,67.12,30.76,35.25,228.21,19.63,24.46,11.75,54.71,102.4,114.0,129.16,19.65,28.12
4,20190121,43.73,23.7,144.88,19.45,82.48,21.39,37.15,87.86,24.55,22.73,5.97,20.48,18.93,80.8,82.28,57.1,53.15,67.93,31.05,35.35,228.89,19.24,24.51,11.7,55.31,102.4,114.2,128.97,20.0,28.46
5,20190118,44.55,23.7,143.43,18.2,81.79,22.0,36.71,86.41,24.27,22.46,5.96,20.63,17.8,81.0,82.97,57.0,52.28,66.08,30.48,35.4,228.89,19.14,24.08,11.25,54.32,102.2,114.2,129.16,19.25,28.41
6,20190117,44.73,23.8,143.72,18.45,80.82,21.58,36.71,86.41,23.7,22.23,6.01,21.05,17.8,80.2,83.86,56.8,52.57,66.67,29.95,35.55,228.89,19.29,24.12,11.2,54.71,102.0,114.49,127.43,19.0,29.24
7,20190116,45.46,24.0,144.69,18.7,80.33,20.96,37.19,87.96,25.02,22.65,6.16,21.29,17.53,81.4,83.86,57.5,53.34,67.93,30.24,35.6,233.28,19.39,24.65,11.3,54.91,102.0,114.99,128.2,19.85,30.55
8,20190115,45.92,24.3,149.83,18.9,79.25,20.86,37.41,87.67,25.02,22.54,6.24,21.29,17.58,81.9,84.25,58.1,53.15,68.08,30.48,35.45,233.87,19.34,24.89,11.3,55.41,101.5,116.18,130.03,19.25,30.11
9,20190114,45.64,24.15,151.28,18.8,79.25,20.2,37.15,86.89,24.55,22.54,6.14,21.58,17.13,80.5,83.56,58.1,52.76,68.08,29.72,35.7,234.26,19.19,24.7,11.2,54.81,101.4,116.48,130.13,19.05,29.48
