,DTYYYYMMDD,CII,CTD,CTG,DHG,DPM,EIB,FPT,GAS,GMD,HDB,HPG,MBB,MSN,MWG,NVL,PNJ,REE,ROS,SAB,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
0,20190802,21.8,109.58,20.35,95.0,14.0,17.75,47.88,104.96,24.55,26.05,22.45,20.32,79.0,108.0,60.1,80.4,33.0,27.5,273.3,16.8,22.07,10.6,20.55,78.4,89.13,122.5,132.4,120.94,19.05,36.25
1,20190801,21.8,108.61,20.4,96.5,14.35,17.7,47.44,107.24,24.27,26.0,22.6,20.37,80.1,108.5,59.2,78.2,33.3,27.2,274.77,16.75,22.31,10.5,20.7,79.79,89.43,124.4,133.0,121.13,18.5,37.0
2,20190731,21.9,109.58,20.75,99.0,14.4,17.95,47.49,108.03,24.64,25.95,22.55,20.56,80.0,106.8,57.7,76.8,32.75,27.15,272.33,16.65,22.21,10.7,20.55,79.49,87.15,122.0,133.4,120.16,18.55,36.95
3,20190730,21.9,110.55,20.7,99.9,14.5,17.95,46.9,107.93,24.93,26.0,21.5,20.23,79.9,103.7,58.4,76.3,32.6,27.3,274.28,16.55,22.35,10.85,20.7,79.89,83.0,122.5,133.4,120.45,18.65,35.85
4,20190729,21.9,111.52,20.9,100.6,14.9,18.1,47.68,109.91,25.02,26.0,22.1,20.79,81.0,106.0,58.5,77.8,32.6,27.4,271.35,16.45,23.07,10.95,20.8,80.29,86.76,124.4,133.4,120.45,18.75,36.75
5,20190726,21.95,109.29,21.2,101.5,14.7,17.65,47.88,106.94,25.16,26.05,22.55,20.69,80.9,106.7,58.3,78.2,32.75,27.45,272.23,16.25,23.36,11.15,20.8,77.81,86.46,122.1,133.0,121.42,18.75,37.4
6,20190725,22.0,109.58,21.25,101.5,14.9,17.85,47.73,106.94,25.07,26.15,22.4,20.74,80.8,107.9,58.5,78.2,33.25,27.8,276.23,16.35,23.31,11.2,20.9,77.01,86.46,123.2,133.0,122.01,18.8,37.5
7,20190724,22.0,109.1,21.25,101.5,15.0,17.95,47.68,105.65,25.07,26.1,21.55,20.93,80.7,107.4,58.9,76.7,33.35,28.0,270.86,16.45,23.65,11.35,20.95,76.22,84.78,122.0,132.8,122.5,19.1,37.35
8,20190723,22.0,108.81,21.65,101.6,15.1,18.0,47.88,106.05,25.21,26.15,21.7,21.02,79.6,108.9,58.3,77.5,33.6,28.0,270.67,16.45,24.03,11.5,21.05,78.2,84.78,119.8,131.9,122.3,19.1,37.3
9,20190722,22.0,108.61,21.6,101.8,15.15,18.0,47.44,104.47,25.12,26.1,20.75,20.56,79.2,106.5,57.6,76.2,32.85,27.5,270.57,16.6,23.98,11.5,21.05,78.3,83.6,116.5,132.0,122.4,19.1,36.7
10,20190719,22.0,107.74,21.85,102.5,15.15,18.3,47.29,104.96,25.35,26.4,20.6,20.56,77.7,105.9,58.2,73.23,33.05,27.7,270.47,16.7,24.51,11.7,21.2,78.3,83.5,116.0,130.2,123.76,19.4,37.4
11,20190718,21.65,107.64,21.65,100.0,15.2,17.3,45.92,106.15,25.3,26.35,20.95,20.56,75.8,103.9,57.8,72.54,33.3,27.5,277.21,16.8,24.46,11.55,20.9,75.73,83.0,114.8,128.5,121.52,19.3,36.6
12,20190717,22.0,109.1,21.9,102.5,15.3,18.3,46.16,107.83,25.54,26.4,21.35,20.46,79.8,101.6,59.5,73.43,33.5,27.4,279.16,16.9,24.7,11.55,21.1,75.53,83.0,115.5,130.0,122.3,19.4,37.0
13,20190716,22.0,107.06,21.7,102.5,15.35,18.25,46.41,105.36,25.78,26.05,21.6,20.14,80.4,102.2,60.4,73.92,33.65,28.6,278.18,17.0,23.93,11.4,21.2,76.52,82.91,115.9,131.0,120.94,19.7,37.0
14,20190715,22.1,107.06,21.5,104.1,15.35,18.25,46.41,104.96,25.68,26.1,21.45,19.86,79.9,101.2,60.2,73.63,34.0,28.0,275.25,17.0,23.93,11.35,21.15,74.34,81.03,114.2,129.5,120.16,19.6,36.25
15,20190712,22.0,107.45,21.45,104.1,15.45,18.2,46.11,104.76,25.35,26.15,21.9,19.77,81.5,98.1,61.0,72.84,33.7,28.5,282.09,17.0,23.98,11.4,20.7,73.05,82.11,116.0,130.2,120.94,19.5,35.9
16,20190711,22.45,105.22,21.55,105.2,15.5,18.55,46.11,105.16,25.49,26.1,21.55,19.81,82.5,98.0,61.5,72.24,33.8,29.2,279.16,17.05,24.03,11.5,21.0,73.35,82.11,116.5,131.3,122.11,19.65,36.45
17,20190710,22.3,103.76,21.0,105.0,15.65,18.5,46.16,104.76,25.49,25.95,21.35,19.54,84.2,98.4,60.8,72.24,34.15,29.2,278.18,17.0,23.84,11.45,20.7,71.86,82.41,116.8,131.5,121.91,19.4,36.15
18,20190709,21.75,101.24,20.95,105.2,15.5,18.5,45.87,103.38,25.26,26.15,21.35,19.63,84.2,97.0,60.1,72.84,33.55,29.25,274.28,17.0,23.98,11.35,20.7,71.27,82.11,116.0,128.9,121.91,19.3,36.4
19,20190708,22.0,101.14,20.9,104.7,15.45,18.4,45.43,101.99,25.21,26.0,21.75,19.54,84.5,94.3,60.2,72.93,33.5,29.4,274.28,16.75,24.03,11.4,20.9,70.67,82.02,116.0,128.5,121.13,19.35,35.8
20,20190705,22.4,102.02,21.15,105.5,15.45,18.35,45.72,102.58,25.63,26.25,22.3,19.72,85.0,95.4,60.3,73.73,33.35,29.35,273.3,16.75,24.27,11.4,21.35,71.96,84.98,116.7,129.5,123.08,19.4,35.75
21,20190704,21.9,103.76,21.15,107.5,15.6,18.65,46.07,102.19,25.59,26.5,22.3,19.58,85.2,95.5,59.8,73.73,33.35,29.8,272.33,16.75,24.12,11.45,21.4,71.86,83.99,116.5,129.5,123.08,19.35,34.75
22,20190703,22.3,103.57,21.05,105.1,15.25,18.3,45.92,101.99,25.59,26.3,22.15,19.44,84.5,95.6,58.7,72.93,33.05,29.4,269.4,16.75,23.79,11.35,20.8,68.99,81.03,115.4,128.5,122.89,19.2,34.3
23,20190702,22.5,101.44,20.8,106.1,15.55,18.7,46.02,102.88,25.12,26.5,22.6,19.58,84.6,95.5,60.2,74.02,32.2,29.4,268.62,16.8,23.69,11.45,20.9,69.88,80.14,115.8,128.5,122.01,19.3,34.6
24,20190701,21.7,101.53,20.85,104.7,15.8,18.8,46.21,102.68,24.93,26.9,23.0,19.58,85.6,94.7,60.7,73.53,32.0,29.75,271.25,16.85,23.93,11.55,21.0,70.67,80.04,117.2,127.0,121.91,19.4,34.25
25,20190628,22.5,103.76,19.5,108.48,15.15,18.8,44.64,96.54,24.55,27.5,23.5,19.35,83.0,92.8,59.6,72.24,31.75,29.8,268.42,16.8,23.74,11.35,20.35,69.88,78.36,115.7,128.0,119.96,18.9,33.8
26,20190627,22.15,99.01,20.65,107.48,15.0,18.7,44.54,97.04,24.55,26.55,22.55,19.07,82.0,91.0,59.5,71.25,31.65,29.9,265.49,16.7,23.55,11.3,20.2,68.89,76.58,114.9,124.5,120.06,18.85,33.75
27,20190626,22.45,99.3,20.9,105.69,15.65,18.45,45.28,103.67,24.93,26.6,22.9,19.31,85.5,92.8,59.9,72.04,32.0,29.95,275.25,16.75,23.74,11.5,20.4,69.88,78.06,116.9,124.2,120.45,19.2,34.35
28,20190625,22.5,98.91,21.05,104.5,16.1,18.6,45.62,102.49,24.5,26.7,23.1,19.54,84.0,91.8,58.5,71.94,31.75,30.0,275.06,16.75,23.79,11.65,20.75,71.76,78.56,116.4,123.9,120.35,19.4,34.3
29,20190624,22.55,95.03,21.4,104.0,16.3,18.7,44.3,103.48,24.69,26.65,23.35,19.72,84.1,91.4,57.9,72.84,32.15,30.0,274.28,16.75,23.84,11.7,20.9,72.36,78.56,116.4,123.5,120.06,19.3,34.5
30,20190621,22.6,94.55,21.4,103.01,16.0,18.3,44.54,104.47,24.69,26.6,23.7,19.72,84.0,91.0,57.0,73.43,32.25,30.0,271.35,16.7,24.03,11.45,20.8,70.37,77.57,114.5,123.2,122.4,19.3,34.3
31,20190620,22.6,94.07,21.0,101.02,16.3,18.5,44.54,103.77,24.6,26.9,23.6,19.72,82.5,90.7,57.6,72.93,32.15,30.3,268.42,16.75,24.03,11.5,20.6,70.87,77.47,116.0,123.3,120.25,19.2,34.9
