,DTYYYYMMDD,BID,BVH,CTD,CTG,DPM,EIB,FPT,GAS,GMD,HDB,HPG,MBB,MSN,MWG,NVL,PNJ,REE,ROS,SAB,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
0,20200131,51.5,58.8,55.7,24.4,11.6,17.85,52.0,86.5,19.1,27.0,24.1,20.8,50.1,110.8,55.1,84.3,33.9,9.33,208.11,18.55,17.7,10.2,21.6,88.7,87.5,114.8,130.2,108.5,22.45,30.05
1,20200130,52.7,63.1,52.9,24.35,12.45,17.95,54.7,92.0,20.5,27.95,25.3,21.25,50.1,114.0,55.1,87.7,35.8,10.0,214.0,18.6,18.5,10.35,22.9,88.9,87.4,114.9,140.0,116.6,22.7,30.95
2,20200122,55.5,67.0,53.4,25.6,12.6,17.45,56.5,94.9,21.55,29.0,26.3,22.4,53.4,119.2,56.0,91.3,37.0,10.3,228.23,18.6,19.3,10.9,24.2,93.4,89.4,114.9,146.5,121.3,23.6,32.6
3,20200121,54.0,65.9,53.0,25.3,12.65,17.5,55.5,94.9,21.4,28.95,25.85,22.55,54.5,120.0,56.0,91.0,37.3,10.15,228.72,18.45,19.25,10.9,24.05,94.0,87.5,114.9,147.0,121.0,23.55,32.6
4,20200120,53.3,65.4,53.5,25.1,12.6,17.8,57.4,93.4,21.3,28.25,25.5,22.0,54.3,118.6,56.0,92.0,36.75,10.15,231.67,18.5,19.25,10.7,23.35,94.0,86.0,114.9,147.0,119.0,22.5,32.0
5,20200117,53.5,65.9,52.7,24.95,12.5,17.8,57.6,93.2,21.4,28.55,25.0,22.0,55.0,116.1,56.0,90.7,36.5,10.0,230.2,18.5,19.25,10.6,23.4,94.5,86.0,114.9,148.2,118.6,21.9,32.6
6,20200116,54.0,66.0,49.3,24.9,12.5,17.55,58.0,93.3,21.2,28.65,25.3,22.0,56.2,115.4,56.0,89.9,36.4,10.5,229.02,18.6,19.1,10.4,23.3,89.5,86.1,115.0,146.0,118.2,21.85,32.8
7,20200115,51.0,65.9,49.45,23.6,12.75,18.0,57.0,94.0,21.35,27.75,25.15,21.45,56.5,114.0,55.0,90.0,35.55,11.25,229.7,18.7,18.4,10.25,22.9,89.3,86.3,115.0,146.0,117.8,21.65,33.2
8,20200114,50.1,66.0,49.6,23.5,12.8,18.0,57.0,94.9,21.5,28.0,25.0,21.5,56.6,113.9,55.4,88.9,35.8,12.05,228.72,18.65,18.4,10.3,22.9,89.4,86.3,115.0,146.0,117.8,21.15,33.75
9,20200113,50.1,66.7,49.7,23.2,12.9,18.0,57.1,95.3,21.5,27.9,24.25,21.3,57.0,114.5,55.0,89.0,35.75,11.3,229.61,18.7,18.3,10.4,22.95,89.4,86.3,114.9,146.5,117.4,20.6,33.75
10,20200110,51.3,67.0,49.55,23.55,12.75,18.0,57.5,95.9,22.0,28.1,24.2,21.4,56.5,115.1,55.8,88.5,35.7,12.15,229.21,18.7,18.3,10.5,23.15,89.5,84.5,114.8,146.2,118.9,21.05,33.95
11,20200109,49.65,65.1,50.2,22.45,13.0,17.45,57.6,95.2,21.7,27.5,24.0,21.05,57.0,114.5,55.6,86.2,35.7,13.05,222.83,18.7,17.95,10.15,23.05,88.7,83.3,114.7,146.2,118.6,20.75,34.0
12,20200108,47.1,66.0,50.4,21.65,12.5,17.3,56.8,97.0,21.0,26.7,23.45,20.7,56.0,112.8,54.0,85.1,35.7,14.0,219.1,18.6,17.75,9.98,22.75,87.0,82.5,114.3,144.8,118.8,20.1,32.7
13,20200107,46.7,67.5,51.5,21.7,12.55,17.45,58.1,97.1,21.75,26.7,23.7,21.0,56.8,115.6,56.3,86.9,36.65,15.05,219.89,18.7,18.25,10.15,23.2,87.8,83.8,114.7,145.9,118.5,20.35,33.95
14,20200106,45.8,67.6,52.6,21.35,12.7,17.5,57.0,97.8,22.25,27.0,24.0,20.95,56.6,114.7,55.8,85.8,36.45,14.1,219.69,18.6,18.2,10.05,23.05,87.5,83.4,114.5,146.0,117.4,19.95,33.65
15,20200103,46.7,68.6,53.3,21.3,12.8,17.25,57.6,94.8,22.75,27.55,24.15,21.25,57.5,115.3,56.0,86.8,36.5,15.15,220.48,18.6,18.25,10.2,23.65,89.9,85.2,115.3,148.0,118.3,20.4,34.6
16,20200102,46.9,69.0,52.8,21.5,12.95,17.7,58.6,94.6,23.2,27.8,24.0,21.2,57.0,117.0,57.5,87.4,36.95,16.1,219.89,18.6,18.4,10.2,23.8,90.8,84.9,115.0,148.0,117.9,20.55,34.35
17,20191231,46.15,68.6,51.3,20.9,12.95,17.8,58.3,93.7,23.3,27.55,23.5,20.8,56.5,114.0,59.5,86.0,36.3,17.3,223.81,18.5,18.05,10.05,23.55,90.2,84.8,115.0,146.2,116.5,20.0,34.0
18,20191230,46.1,69.4,52.9,21.05,13.05,17.8,58.6,96.4,23.3,26.9,23.65,20.95,57.1,114.0,58.5,86.5,36.65,18.6,225.78,18.5,18.15,10.1,23.45,91.0,85.5,115.0,144.4,116.5,19.8,34.5
19,20191227,46.2,68.8,53.9,20.65,13.2,16.9,57.6,97.0,23.5,27.0,23.55,20.9,56.9,113.5,57.9,86.5,35.9,19.95,226.27,18.5,18.1,10.15,23.2,89.7,84.5,115.2,143.6,118.2,19.7,33.4
20,20191226,44.2,68.0,55.2,20.6,13.35,17.1,57.4,96.2,23.5,26.5,23.0,20.85,57.0,113.3,56.9,85.6,35.5,21.45,229.12,18.5,18.25,10.1,23.05,88.61,84.2,115.4,143.7,117.0,19.7,33.3
21,20191225,45.2,68.7,55.5,20.6,13.4,17.2,57.5,96.9,23.95,26.7,23.15,21.0,55.7,113.9,56.5,85.5,35.6,23.05,228.23,18.4,18.2,10.1,23.0,89.11,83.7,115.5,143.8,117.01,19.55,32.8
22,20191224,44.9,69.6,53.1,20.6,13.45,17.25,56.4,96.3,23.95,26.8,23.2,20.75,54.5,111.3,56.0,84.5,35.9,23.6,228.72,18.45,18.35,10.1,23.0,89.21,83.7,115.5,143.5,117.6,19.3,32.9
23,20191223,44.75,72.0,55.7,20.55,13.0,17.15,56.1,95.8,24.3,26.3,23.05,21.05,51.6,111.0,56.0,84.7,35.5,23.55,230.29,18.4,18.35,10.2,23.1,90.1,83.8,115.7,142.9,117.01,19.35,32.9
24,20191220,42.75,72.5,58.0,20.35,12.95,16.95,56.5,96.0,23.85,26.2,23.0,21.0,55.0,110.7,55.7,82.8,35.8,23.6,229.8,18.4,18.3,10.0,22.8,87.52,84.2,115.8,142.5,118.99,19.6,32.95
25,20191219,42.2,71.5,61.0,20.15,12.9,16.6,55.8,95.8,23.8,26.2,22.8,20.7,55.6,110.0,55.7,81.5,35.8,23.7,228.72,18.0,18.1,9.93,22.35,87.22,83.9,115.8,142.6,118.69,19.2,32.4
26,20191218,42.0,73.0,61.7,20.15,13.2,16.95,55.5,95.5,23.55,26.45,22.55,21.0,56.4,110.0,55.6,80.9,35.9,24.0,228.72,18.25,18.4,9.94,22.7,85.94,83.9,115.8,142.7,117.6,19.25,31.95
27,20191217,41.45,72.2,61.9,20.25,13.45,17.0,55.4,97.5,23.5,26.95,23.15,21.05,56.1,113.3,56.0,82.2,36.0,24.0,228.72,18.55,18.65,10.05,22.75,84.55,85.5,115.8,142.6,116.11,19.3,32.9
