DTYYYYMMDD,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
2016-12-06,18.9,16.8,13.3,20.2,154.0,134.0,132.0,66.9,41.1,42.3
2016-12-07,18.23,17.1,13.15,20.2,154.2,132.5,141.2,65.3,41.8,42.1
2016-12-08,18.21,17.0,13.15,20.2,155.0,135.2,151.0,65.0,41.2,42.25
2016-12-09,18.23,16.6,13.3,20.15,155.0,135.8,161.5,66.0,42.1,42.9
2016-12-12,18.23,16.6,13.2,20.15,152.6,133.7,172.8,66.0,44.6,42.2
2016-12-13,18.15,16.7,13.2,20.15,152.6,131.0,184.8,65.0,46.6,41.8
2016-12-14,18.08,17.2,13.2,20.2,155.0,130.8,197.7,65.0,52.7,42.0
2016-12-15,18.57,17.0,13.15,20.2,153.8,127.6,211.5,64.4,50.0,41.85
2016-12-16,18.41,17.0,13.15,20.2,153.4,129.9,225.0,64.2,48.7,42.1
2016-12-19,18.64,17.9,13.25,20.3,151.0,128.8,212.0,64.9,47.6,42.7
2016-12-20,18.5,17.8,13.3,20.2,154.6,124.6,197.2,63.6,50.0,42.55
2016-12-21,18.41,17.3,13.3,20.3,155.7,126.1,200.8,65.0,49.5,42.5
2016-12-22,18.68,17.8,13.25,20.3,155.0,123.1,203.0,63.5,49.6,42.55
2016-12-23,18.95,17.4,13.2,20.2,154.8,124.0,200.0,62.0,46.9,42.65
2016-12-26,19.15,17.5,13.15,20,158.9,122.5,197.0,61.1,48.5,42.7
2016-12-27,19.53,17.6,13.25,20,159.5,125.0,198.0,60.0,49.0,43.15
2016-12-28,19.24,17.6,13.3,20,159.2,126.0,198.9,59.9,48.6,43.6
2016-12-29,19.44,19.0,13.4,20,159.0,128.6,197.0,59.7,47.6,43.45
2016-12-30,19.26,19.1,14.0,20,156.0,125.6,197.7,60.6,48.7,44.0
2017-01-03,19.24,19.1,13.75,19.95,156.7,126.7,197.0,60.1,48.1,44.85
2017-01-04,19.62,20.1,13.6,19.95,157.3,126.9,197.0,61.5,48.0,45.25
2017-01-05,19.62,20.8,13.5,19.4,157.8,126.7,197.1,61.5,48.1,45.1
2017-01-06,19.66,21.0,13.75,19.7,157.8,126.0,206.0,60.4,48.2,44.95
2017-01-09,19.35,21.6,13.7,19.7,156.7,126.0,205.0,60.5,48.6,45.2
2017-01-10,19.24,21.6,13.7,19.7,157.2,126.1,204.5,60.0,49.6,46.0
2017-01-11,19.55,21.5,13.75,19.8,160.0,127.0,210.0,60.4,49.6,46.1
2017-01-12,19.62,21.8,13.85,19.8,160.0,127.0,210.6,60.5,49.0,45.95
2017-01-13,19.46,23.0,13.75,19.8,159.5,126.9,211.8,59.6,48.1,44.9
2017-01-16,19.26,23.1,13.65,19.8,158.5,126.5,209.0,58.0,48.9,44.0
2017-01-17,18.72,23.0,14.15,19.8,158.0,126.1,216.5,56.7,49.0,44.4
2017-01-18,18.72,23.1,14.0,19.7,158.0,126.0,223.8,57.4,48.5,43.8
2017-01-19,18.55,22.9,13.9,19.7,157.5,126.0,223.8,57.4,49.1,43.8
2017-01-20,18.48,23.5,13.9,19.8,159.5,127.0,223.8,58.1,49.9,44.2
2017-01-23,18.81,23.6,13.8,19.7,158.3,128.0,222.0,58.5,49.9,44.45
2017-01-24,18.72,23.8,14.1,19.5,159.0,128.0,222.0,60.0,50.1,44.7
2017-01-25,18.72,24.2,14.15,19.7,160.0,129.0,223.8,60.1,50.5,45.1
2017-02-02,18.86,23.6,14.2,19.8,169.0,133.0,219.0,60.5,50.0,44.9
2017-02-03,19.04,23.7,14.15,19.7,168.0,133.9,217.0,59.5,50.0,44.7
2017-02-06,19.26,23.7,14.1,19.6,170.5,133.2,215.0,60.0,50.1,44.3
2017-02-07,19.66,23.7,14.0,19.5,170.4,133.8,216.0,60.0,50.2,44.5
2017-02-08,19.88,23.9,14.15,19.4,168.8,133.9,215.3,59.1,50.8,44.6
2017-02-09,19.91,23.5,14.25,19.6,167.0,134.1,211.0,58.0,51.6,44.55
2017-02-10,19.86,23.5,14.15,19.7,168.3,133.8,213.2,59.0,51.1,44.45
2017-02-13,19.77,23.3,14.4,20.1,173.2,133.8,213.4,59.1,51.5,44.8
2017-02-14,19.95,22.7,14.3,20.2,172.0,132.9,216.0,59.1,51.3,46.4
2017-02-15,20.11,22.7,14.5,20.3,173.0,133.0,213.9,59.1,51.8,46.0
2017-02-16,20.13,22.7,14.6,21.5,173.0,132.0,215.4,59.3,52.5,45.3
2017-02-17,19.93,22.7,14.75,21.5,172.0,130.0,214.7,58.9,52.6,45.3
2017-02-20,19.75,22.6,14.65,21.5,168.0,130.0,218.0,59.0,52.6,45.05
2017-02-21,18.72,22.6,14.65,22.3,168.5,130.3,219.6,59.7,52.2,45.4
2017-02-22,18.84,22.7,14.65,22,166.1,130.4,224.3,62.0,51.4,45.8
2017-02-23,17.92,22.9,14.2,22,165.3,130.3,227.0,63.0,51.9,46.0
2017-02-24,18.1,22.9,14.15,21.9,166.0,131.9,227.0,61.7,51.2,46.0
2017-02-27,18.03,22.6,14.1,21.9,168.6,131.8,225.1,61.9,50.3,46.55
2017-02-28,17.94,22.5,14.0,21.9,167.1,131.4,225.1,60.3,50.9,45.85
2017-03-01,17.83,22.8,13.95,22.4,166.5,130.8,225.9,58.9,50.9,45.7
2017-03-02,18.23,22.6,13.9,23.2,167.0,129.7,224.9,58.0,52.5,45.45
2017-03-03,18.72,22.5,13.8,23.3,166.3,129.9,225.4,58.6,52.5,45.65
2017-03-06,18.28,23.3,13.95,23.4,166.3,130.9,224.5,58.2,52.0,45.95
2017-03-07,18.37,23.4,13.95,23.45,167.9,130.0,222.6,58.2,52.0,45.8
2017-03-08,18.37,23.7,14.1,23.5,169.8,130.6,218.9,57.8,52.0,45.8
2017-03-09,18.39,22.9,14.55,23.25,169.0,130.5,216.0,56.8,52.0,45.5
2017-03-10,18.72,22.8,14.4,23.3,169.0,129.9,211.0,55.8,51.5,46.0
2017-03-13,18.77,23.1,14.7,23.1,169.8,129.7,207.0,54.7,51.0,45.75
2017-03-14,18.77,23.2,14.65,23.1,172.0,130.7,214.0,55.0,51.8,45.7
2017-03-15,18.75,23.4,14.5,23.3,174.0,133.0,211.6,55.0,51.6,45.55
2017-03-16,18.52,23.9,14.5,24.2,171.0,134.0,212.9,55.6,51.4,45.7
2017-03-17,18.64,25.0,14.5,24.3,171.7,134.0,208.0,55.0,51.2,45.9
2017-03-20,18.41,25.0,15.05,24.45,171.8,133.9,209.0,54.8,51.2,46.6
2017-03-21,18.66,24.9,15.4,24.2,172.4,135.6,205.2,54.4,51.2,46.6
2017-03-22,19.1,25.5,15.4,24.2,169.2,136.6,203.0,53.0,51.0,46.1
2017-03-23,18.9,25.2,15.4,24.2,168.5,140.2,202.0,53.2,51.0,48.0
2017-03-24,19.06,24.7,15.65,24.2,168.7,141.7,200.0,54.5,51.0,47.7
2017-03-27,19.19,24.6,15.45,24.2,166.0,142.0,200.0,54.0,51.0,47.6
2017-03-28,19.19,24.7,15.35,25.85,166.0,140.8,199.0,53.6,50.8,47.4
2017-03-29,19.15,24.5,15.3,25.4,167.5,141.8,200.0,53.8,51.0,47.5
2017-03-30,19.35,25.0,15.55,25.4,168.5,144.0,202.0,54.4,50.8,47.1
2017-03-31,20.03,25.3,15.35,25.35,168.3,143.3,200.0,55.0,50.4,47.3
2017-04-03,20.43,25.2,15.45,25.6,167.5,144.3,200.4,54.7,50.1,46.4
2017-04-04,21.37,24.8,15.45,25.3,166.5,144.0,200.4,54.3,50.3,47.0
2017-04-05,21.6,24.4,15.4,25,167.0,143.4,203.0,54.8,50.6,46.55
2017-04-07,21.03,23.7,15.35,24.7,167.0,142.6,205.0,57.2,50.3,47.0
2017-04-10,21.3,23.1,15.3,24.75,166.1,142.6,209.0,56.9,50.1,47.0
2017-04-11,21.37,23.0,15.65,24.9,168.6,143.5,207.5,56.8,50.2,46.95
2017-04-12,21.33,22.9,15.35,25,169.0,144.0,203.0,55.4,49.8,47.55
2017-04-13,21.13,22.5,15.5,25,170.0,143.1,205.0,54.7,50.0,47.25
2017-04-14,21.07,22.9,15.2,24.8,167.2,141.7,204.0,53.9,50.0,46.05
2017-04-17,20.66,22.7,15.1,25,165.0,142.0,207.0,54.0,49.7,45.7
2017-04-18,20.4,22.7,15.2,25.1,163.0,144.4,205.0,55.1,49.5,46.0
2017-04-19,20.23,22.7,15.0,25.6,167.0,145.4,201.5,55.0,49.6,46.0
2017-04-20,20.7,22.5,15.0,25.4,166.0,144.9,200.0,54.0,49.6,45.85
2017-04-21,20.36,22.1,15.1,25.3,166.5,144.7,201.0,53.6,49.1,45.85
2017-04-24,20.36,22.7,14.95,25.2,166.0,144.0,200.0,54.1,49.6,45.75
2017-04-25,20.1,22.7,14.9,24.9,163.5,143.4,199.0,53.7,49.8,45.65
2017-04-26,19.93,23.2,15.05,25,164.1,143.9,200.5,54.5,49.6,46.0
2017-04-27,19.53,23.8,15.2,25,166.8,146.5,199.9,55.8,49.0,46.5
2017-04-28,19.73,23.8,15.8,25,167.0,148.0,199.9,55.5,49.2,46.45
2017-05-03,19.66,23.5,16.8,25,168.6,148.3,199.9,55.2,49.1,47.0
2017-05-04,19.46,23.1,16.5,25.5,171.8,148.5,199.0,55.2,49.4,47.0
2017-05-05,19.53,23.7,16.7,25.5,172.0,146.6,199.3,54.6,49.4,47.1
2017-05-08,19.53,23.7,16.4,27.25,170.9,145.9,199.0,55.0,49.5,47.0
2017-05-09,19.49,23.4,16.65,27.65,172.5,144.0,196.7,55.6,50.0,48.3
2017-05-10,19.86,23.6,16.9,27.5,172.6,144.4,196.8,55.0,50.0,48.1
2017-05-11,20.06,23.5,16.9,27.2,173.0,144.5,195.9,55.1,50.0,48.1
2017-05-12,20.16,23.9,16.7,27.35,174.0,144.8,196.5,54.5,49.6,48.0
2017-05-15,19.86,24.4,16.5,27.8,183.4,143.9,194.0,54.1,49.4,47.8
2017-05-16,19.73,24.5,16.5,28,180.7,143.5,191.1,54.6,49.6,47.5
2017-05-17,19.39,24.7,16.55,28.15,180.0,147.0,188.7,54.4,49.6,47.8
2017-05-18,19.43,25.1,17.2,27.4,180.3,146.0,189.9,54.7,49.5,47.9
2017-05-19,19.06,24.5,17.75,26.65,181.5,147.9,190.0,55.9,49.4,48.4
2017-05-22,19.19,25.2,18.3,27.25,91.2,150.3,190.4,58.1,49.3,48.5
2017-05-23,19.33,25.1,17.6,27.2,94.5,151.5,194.0,57.4,49.2,48.85
2017-05-24,19.43,25.0,18.8,27.2,98.9,151.5,191.0,57.1,49.0,49.1
2017-05-25,19.63,25.1,19.1,27.2,98.3,150.0,191.0,58.1,48.8,42.6
2017-05-26,19.63,25.0,19.45,27.15,97.0,152.0,189.5,56.8,47.8,42.1
2017-05-29,19.53,25.0,19.2,27.8,94.2,151.7,190.0,58.0,48.0,42.6
2017-05-30,19.93,24.8,19.0,27.7,93.3,149.7,191.0,56.6,47.9,43.0
2017-05-31,19.63,24.7,18.85,27.8,93.5,149.7,189.1,55.6,48.0,43.0
2017-06-01,20.33,24.8,19.1,27.8,95.8,151.9,190.0,55.7,48.0,43.45
2017-06-02,20.26,25.3,19.0,28.1,95.5,150.9,191.0,54.6,48.5,43.25
2017-06-05,20.06,26.4,19.1,28.9,95.0,153.7,191.0,55.2,48.1,43.25
2017-06-06,20.03,26.1,19.4,28.55,96.2,154.2,191.3,55.4,48.5,44.3
2017-06-07,20.4,26.2,20.25,28.5,97.0,154.0,191.9,55.5,48.0,44.05
2017-06-08,21.0,26.0,20.05,28.4,98.0,153.6,191.0,55.5,48.2,44.2
2017-06-09,21.07,26.5,20.05,28.4,97.3,153.7,191.0,54.9,49.0,45.15
2017-06-12,21.03,26.7,19.85,28.35,96.5,152.7,193.9,55.2,50.0,44.7
2017-06-13,20.66,26.4,19.9,28,95.0,152.3,194.9,56.2,51.9,45.35
2017-06-14,21.0,26.4,20.35,27.5,95.5,153.5,200.0,57.5,51.8,45.2
2017-06-15,21.17,26.6,20.1,27.8,95.7,153.8,200.0,56.9,52.0,45.4
2017-06-16,21.67,26.8,20.2,27.9,95.2,153.0,200.3,57.5,52.1,45.7
2017-06-19,22.04,26.3,20.75,28,95.1,154.4,201.0,58.2,52.0,46.3
2017-06-20,21.79,26.1,21.4,28,97.0,153.0,203.0,58.1,52.1,46.15
2017-06-21,22.07,25.7,21.9,28,97.7,153.8,204.9,57.7,52.0,47.5
2017-06-22,21.86,26.1,21.7,27.9,101.0,152.9,205.0,57.0,52.0,47.6
2017-06-23,21.96,25.9,21.5,28.5,102.9,153.0,206.9,56.7,51.9,47.45
2017-06-26,22.0,25.8,21.7,28.1,103.0,153.4,207.4,57.0,51.9,46.7
2017-06-27,22.04,26.0,21.7,28,101.3,153.5,207.4,57.4,51.8,45.7
2017-06-28,21.89,25.9,21.8,28,100.5,155.4,206.8,57.3,51.0,46.35
2017-06-29,21.93,26.4,22.3,27.8,101.0,154.8,206.5,57.3,51.0,46.5
2017-06-30,22.25,26.2,22.3,27.85,102.9,157.6,208.3,58.3,50.5,46.85
2017-07-03,22.86,26.5,22.25,27.85,102.8,157.0,210.0,59.6,50.8,46.4
2017-07-04,23.57,26.5,22.0,27.9,103.5,156.5,210.9,59.0,50.9,46.6
2017-07-05,23.57,26.5,21.75,28,102.7,156.6,210.0,60.1,51.0,46.7
2017-07-06,23.5,25.9,21.8,28.2,102.7,157.5,210.0,60.7,51.0,47.9
2017-07-07,23.79,25.9,21.4,28.25,103.0,154.2,210.0,60.7,51.0,48.6
2017-07-10,23.57,25.9,20.75,28.2,101.5,151.7,210.0,60.3,50.8,48.2
2017-07-11,23.64,25.9,21.2,28.2,101.5,153.0,210.5,60.1,51.0,47.6
2017-07-12,23.5,25.8,21.3,29.2,102.5,155.4,210.2,62.5,50.7,47.95
2017-07-13,23.57,24.9,21.35,29.3,102.6,156.3,210.5,63.2,49.5,48.85
2017-07-14,24.0,25.1,21.25,28.9,102.0,155.1,211.5,63.5,48.3,48.7
2017-07-17,24.07,25.1,20.6,28.4,103.2,151.9,219.5,62.1,49.1,48.0
2017-07-18,23.46,25.2,20.7,28.15,102.2,152.0,226.0,60.7,50.5,47.8
