DTYYYYMMDD,HPG,REE,MSN,MBB,VIC,DPM,SBT,CTG,SSI,VCB,GMD,FPT,VNM,STB
20160125,7.86,17.51,47.07,9.07,29.36,20.41,17.97,15.91,17.81,29.0,18.68,23.65,71.38,11.6
20160126,7.63,17.65,46.75,9.01,29.17,20.12,17.69,16.1,17.3,28.23,18.27,23.04,69.56,11.1
20160127,7.75,17.72,46.75,9.07,28.87,20.48,18.88,16.19,17.47,28.16,18.54,23.24,70.77,11.2
20160128,7.66,17.58,46.43,9.27,29.36,20.41,18.95,15.91,17.3,28.16,18.41,23.09,70.17,11.3
20160129,7.95,18.08,46.12,9.2,28.93,20.77,18.74,15.91,17.47,28.79,18.41,23.29,70.17,11.3
20160201,7.72,18.01,45.48,9.2,28.57,20.84,17.48,15.82,17.3,28.3,18.54,23.39,71.98,11.2
20160202,7.75,18.15,44.84,9.2,28.57,20.77,16.57,15.82,17.3,28.09,18.45,23.19,71.98,11.1
20160203,7.75,18.08,45.8,9.14,28.57,21.13,16.99,15.73,17.39,27.54,18.5,23.39,73.19,11.1
20160204,7.81,18.08,46.75,9.27,28.57,21.28,17.41,15.91,17.56,27.82,18.54,23.34,73.8,11.2
20160205,7.81,18.22,46.75,9.39,28.32,21.21,17.69,15.91,17.9,27.89,18.73,23.55,75.01,11.2
20160215,7.63,18.43,45.8,9.58,27.65,20.99,18.18,15.91,17.73,28.02,18.64,23.44,76.22,11.0
20160216,7.72,18.29,45.8,9.58,27.72,20.84,18.39,15.82,17.81,28.02,18.73,23.75,77.43,10.9
20160217,7.72,18.51,45.8,9.52,27.65,20.77,18.88,15.82,17.9,27.68,18.82,23.85,78.64,10.6
20160218,7.75,18.51,45.8,9.52,27.96,20.77,19.37,16.1,18.07,28.02,18.59,24.15,78.03,11.0
20160219,7.81,18.29,45.48,9.9,27.41,20.55,19.93,15.91,18.07,27.89,18.22,23.95,78.03,11.0
20160222,7.86,18.36,47.39,9.9,27.47,20.63,20.07,15.91,19.01,28.09,18.18,24.2,78.64,10.8
20160223,7.86,18.36,47.07,9.78,27.72,20.63,19.58,15.82,19.09,28.51,18.22,24.0,78.64,10.9
20160224,7.86,18.51,46.75,9.78,27.59,20.92,19.37,16.84,19.43,29.42,18.18,24.0,79.24,11.2
20160225,7.89,18.36,45.8,9.65,27.65,20.55,19.37,17.02,19.09,29.07,17.85,23.9,78.03,11.1
20160226,8.21,18.36,47.07,9.58,27.35,20.55,20.28,16.93,19.18,29.21,18.27,23.95,78.64,11.2
20160229,8.07,18.21,45.8,9.33,26.8,20.63,19.93,16.47,19.18,28.51,18.13,24.0,77.43,11.0
20160301,7.92,19.33,45.8,9.65,26.8,20.63,19.3,16.28,19.35,28.3,18.08,24.2,78.64,10.9
20160302,7.86,19.03,46.43,9.58,27.35,21.21,19.37,16.56,19.77,29.0,17.99,24.45,79.85,11.1
20160303,7.81,18.59,47.39,9.58,27.59,21.5,18.95,16.65,19.69,28.93,18.04,24.5,79.24,11.0
