DTYYYYMMDD,CTG,FPT,HPG,MBB,MSN,REE,SBT,SSI,STB,VCB,VIC,VNM
2018-01-02,24950,43292.6138,26208.7912,19688.376,80000,39373.0478,18429.6542,27021.1356,13400,53821.5733,64628.0992,164941.9329
2018-01-03,24800,43292.6138,26153.8462,19502.9864,82500,39281.9065,18700.6785,28042.5531,13350,53723.7159,66528.9256,166813.6144
2018-01-04,25700,44161.3619,26483.5165,19540.0644,82500,39373.0478,19197.5564,27949.6969,13600,54213.0029,66942.1488,167515.495
2018-01-05,25100,43437.4052,26373.6264,19391.7527,84700,38735.0586,19423.41,26835.4233,13600,52842.9992,66115.7025,166501.6675
2018-01-08,25700,44088.9662,27197.8022,20355.7786,88800,39008.4825,20688.1902,27392.5601,14550,54213.0029,66363.6364,163772.1319
2018-01-09,25700,44957.7143,29065.9341,20541.1682,90000,39646.4717,20868.8731,27671.1285,14850,57246.5825,66611.5702,161432.5301
2018-01-10,25500,44523.3403,28406.5934,20578.2461,87000,39919.8957,21501.2632,28181.8373,15600,56757.2955,66776.8595,164551.9992
2018-01-11,25650,44523.3403,28406.5934,20874.8695,90000,39646.4717,21998.1411,28135.4092,16250,57540.1547,66942.1488,163772.1319
2018-01-12,25600,43582.1965,28626.3736,20392.8565,93000,38735.0586,21004.3853,29063.9706,15500,56757.2955,70578.5124,163694.1452
2018-01-15,26100,44161.3619,30000.0,20986.1033,92800,38780.6292,20507.5073,29667.5355,15350,58714.4436,72066.1157,162602.331
2018-01-16,26600,44161.3619,30769.2308,21171.4929,92400,38780.6292,20868.8731,29574.6793,14950,58714.4436,71074.3802,162446.3575
2018-01-17,25200,42713.4484,29450.5495,20754.8803,90200,37367.9389,19829.9465,28321.1215,14300,54995.8621,69421.4876,156831.313
2018-01-18,25500,42713.4484,30769.2308,21209.3667,92000,37732.5041,21049.556,29249.6829,15000,57246.5825,69752.0661,160340.7158
2018-01-19,25300,42641.0527,32802.1978,21057.8713,87500,37367.9389,21049.556,30178.2442,15450,59693.0176,69421.4876,160340.7158
2018-01-22,25750,44088.9662,34945.0549,21209.3667,92500,38097.0694,20507.5073,31756.7985,15100,61943.738,70247.9339,165019.9196
2018-01-25,26750,44233.7576,33791.2088,22497.0783,97200,38324.9227,20236.483,32871.0722,15400,66249.4638,70330.5785,161432.5301
2018-01-26,27300,44016.5706,35109.8901,23860.5376,97500,38097.0694,19829.9465,32778.216,15700,67619.4675,70661.157,165175.8931
2018-01-29,28300,43654.5922,33791.2088,25072.5014,94500,37732.5041,18655.5078,33985.3458,16750,66543.036,70661.157,161042.5964
2018-01-30,28050,46333.2322,33681.3187,24845.2582,90800,37823.6454,18384.4834,33892.4897,17100,65564.462,70247.9339,159482.8618
2018-01-31,27200,45536.8797,34230.7692,24163.5285,92100,38871.7705,18474.8249,31663.9424,16250,65173.0324,71074.3802,158702.9945
2018-02-01,27250,44595.736,33516.4835,23254.5557,92100,38871.7705,18384.4834,32081.795,15700,65173.0324,71570.2479,158313.0609
2018-02-02,28000,44161.3619,33571.4286,23481.7989,91000,38917.3412,18791.0199,32592.5037,16250,65955.8916,72066.1157,161432.5301
2018-02-05,26050,41337.9306,31318.6813,21966.8441,84700,36228.6724,17481.069,30317.5284,15150,61356.5935,67024.7934,158391.0476
2018-02-06,24350,39238.456,31868.1319,21057.8713,86000,34177.9929,16261.4596,28971.1144,15400,60671.5917,67024.7934,154335.7377
2018-02-07,25750,40975.9522,32692.3077,22118.3396,83000,34907.1234,15448.3866,30642.5249,15750,62139.4528,66942.1488,156207.4192
2018-02-08,24500,39962.4127,32802.1978,21436.61,85000,34177.9929,15809.7523,29342.539,14900,61552.3083,65289.2562,153711.8438
2018-02-09,24500,39817.6214,32032.967,21891.0964,82200,33904.5689,15538.728,29342.539,14950,59595.1602,64628.0992,148954.6533
2018-02-12,26200,41337.9306,32307.6923,23406.0512,85000,35089.406,16171.1181,31199.6617,15900,62139.4528,69090.9091,149734.5206
2018-02-13,27200,42713.4484,33296.7033,23860.5376,85600,36183.1018,16125.9474,31710.3705,15900,62628.7398,71157.0248,150904.3216
2018-02-21,27850,43003.0311,32967.033,24012.0331,89500,36183.1018,16216.2888,32592.5037,16300,64781.6027,74380.1653,158469.0343
2018-02-22,28650,42279.0744,32362.6374,23898.4115,88000,35590.6832,16577.6546,31942.5108,16100,65368.7472,74793.3884,156753.3263
2018-02-23,30400,43799.3835,33846.1538,24996.7537,89800,36274.2431,16803.5082,32685.3599,16450,69870.1878,75702.4793,157533.1936
2018-02-26,30700,43726.9879,35384.6154,24655.8888,89900,36456.5257,16532.4839,32546.0757,16050,70359.4749,78512.3967,155973.459
2018-02-27,32100,43292.6138,35219.7802,24845.2582,91400,36410.9551,16351.801,32778.216,16150,71631.6212,77272.7273,155973.459
2018-02-28,33600,43292.6138,36263.7363,26057.222,89200,36553.3708,16171.1181,34263.9142,16100,72218.7656,78429.7521,152853.9898
2018-03-01,32700,44016.5706,36648.3516,25678.4833,91000,35698.8764,16351.801,35099.6194,15750,69968.0453,77685.9504,152853.9898
2018-03-02,32700,44233.7576,36428.5714,25905.7265,91500,35414.0449,16306.6303,35285.3317,15700,70261.6175,78099.1736,155427.5519
