DTYYYYMMDD,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
2016-12-08,14.03,10.22,8.92,12.09,55.53,100.99,123.33,56.72,39.86,25.55
2016-12-09,14.01,10.4,8.82,12.09,55.61,99.86,131.92,55.36,40.54,25.43
2016-12-12,14.03,10.34,8.82,12.09,55.89,101.89,141.08,55.11,39.96,25.52
2016-12-13,14.03,10.09,8.92,12.06,55.89,102.34,150.89,55.95,40.83,25.91
2016-12-14,13.96,10.09,8.86,12.06,55.03,100.76,161.45,55.95,43.26,25.49
2016-12-15,13.91,10.16,8.86,12.06,55.03,98.73,172.66,55.11,45.2,25.25
2016-12-16,14.28,10.46,8.86,12.09,55.89,98.58,184.71,55.11,51.11,25.37
2016-12-19,14.16,10.34,8.82,12.09,55.46,96.17,197.61,54.6,48.5,25.28
2016-12-20,14.34,10.34,8.82,12.09,55.32,97.9,210.22,54.43,47.24,25.43
2016-12-21,14.23,10.88,8.89,12.15,54.45,97.07,198.07,55.02,46.17,25.79
2016-12-22,14.16,10.82,8.92,12.09,55.75,93.9,184.25,53.92,48.5,25.7
2016-12-23,14.37,10.52,8.92,12.15,56.15,95.03,187.61,55.11,48.01,25.67
2016-12-26,14.58,10.82,8.89,12.15,55.89,92.77,189.66,55.81,48.11,25.7
2016-12-27,14.73,10.58,8.86,12.09,55.82,93.45,186.86,54.49,45.49,25.76
2016-12-28,15.02,10.64,8.82,11.97,57.3,92.32,186.86,53.7,47.04,25.79
2016-12-29,14.8,10.7,8.89,11.97,57.52,94.21,187.81,52.73,47.53,26.06
2016-12-30,14.95,10.7,8.92,11.97,57.41,94.96,188.66,52.65,47.14,26.33
2017-01-03,14.82,11.55,8.99,11.97,57.34,96.92,186.86,52.47,46.17,26.24
2017-01-04,14.8,11.61,9.39,11.97,56.25,94.66,187.52,53.26,47.24,26.58
2017-01-05,15.09,11.61,9.23,11.94,56.51,95.49,186.86,52.82,46.65,27.09
2017-01-06,15.09,12.22,9.12,11.94,56.72,95.64,186.86,54.05,46.56,27.33
2017-01-09,15.12,12.65,9.06,11.61,56.9,95.49,186.95,54.05,46.65,27.24
2017-01-10,14.88,12.77,9.23,11.79,56.9,94.96,195.39,53.09,46.75,27.15
2017-01-11,14.8,13.13,9.19,11.79,56.51,94.96,194.44,53.17,47.14,27.3
2017-01-12,15.04,13.13,9.19,11.79,56.69,95.03,193.97,52.73,48.11,27.78
2017-01-13,15.09,13.07,9.23,11.85,57.7,95.71,199.19,53.09,48.11,27.84
2017-01-16,14.97,13.26,9.29,11.85,57.7,95.71,199.76,53.17,47.53,27.75
2017-01-17,14.82,13.99,9.23,11.85,57.52,95.64,200.89,52.38,46.65,27.12
2017-01-18,14.4,14.05,9.16,11.85,57.16,95.34,198.24,50.98,47.43,26.58
2017-01-19,14.4,13.99,9.49,11.85,56.98,95.03,205.35,49.83,47.53,26.82
2017-01-20,14.27,14.05,9.39,11.79,56.98,94.96,212.28,50.45,47.04,26.46
2017-01-23,14.22,13.93,9.33,11.79,56.8,94.96,212.28,50.45,47.62,26.46
2017-01-24,14.47,14.29,9.33,11.85,57.52,95.71,212.28,51.06,48.4,26.7
2017-01-25,14.4,14.35,9.26,11.79,57.08,96.47,210.57,51.42,48.4,26.85
2017-02-02,14.4,14.47,9.46,11.67,57.34,96.47,210.57,52.73,48.59,27.0
2017-02-03,14.51,14.72,9.49,11.79,57.7,97.22,212.28,52.82,48.98,27.24
2017-02-06,14.64,14.35,9.53,11.85,60.94,100.23,207.72,53.17,48.5,27.12
2017-02-07,14.82,14.41,9.49,11.79,60.58,100.91,205.83,52.29,48.5,27.0
2017-02-08,15.12,14.41,9.46,11.73,61.48,100.39,203.93,52.73,48.59,26.76
2017-02-09,15.3,14.41,9.39,11.67,61.45,100.84,204.88,52.73,48.69,26.88
2017-02-10,15.31,14.53,9.49,11.61,60.87,100.91,204.21,51.94,49.27,26.94
2017-02-13,15.28,14.29,9.56,11.73,60.22,101.06,200.14,50.98,50.05,26.91
2017-02-14,15.21,14.29,9.49,11.79,60.69,100.84,202.22,51.86,49.56,26.85
2017-02-15,15.35,14.17,9.66,12.03,62.46,100.84,202.41,51.94,49.95,27.06
2017-02-16,15.47,13.8,9.59,12.09,62.02,100.16,204.88,51.94,49.76,28.03
2017-02-17,15.48,13.8,9.73,12.15,62.38,100.23,202.89,51.94,50.24,27.78
2017-02-20,15.33,13.8,9.8,12.87,62.38,99.48,204.31,52.12,50.92,27.36
2017-02-21,15.19,13.8,9.9,12.87,62.02,97.97,203.65,51.77,51.02,27.36
2017-02-22,14.4,13.74,9.83,12.87,60.58,97.97,206.78,51.86,51.02,27.21
2017-02-23,14.49,13.74,9.83,13.35,60.76,98.2,208.29,52.47,50.63,27.42
2017-02-24,13.79,13.8,9.83,13.17,59.9,98.28,212.75,54.49,49.85,27.66
2017-02-27,13.92,13.93,9.93,13.17,59.61,98.2,215.31,55.37,50.34,27.78
2017-02-28,13.87,13.93,9.9,13.11,59.86,99.41,215.31,54.23,49.66,27.78
2017-03-01,13.8,13.74,9.86,13.11,60.8,99.33,213.51,54.4,48.79,28.12
2017-03-02,13.72,13.68,9.79,13.11,60.26,99.03,213.51,53.0,49.37,27.69
2017-03-03,14.03,13.86,9.76,13.41,60.04,98.58,214.27,51.77,49.37,27.6
2017-03-06,14.4,13.74,9.72,13.89,60.22,97.75,213.32,50.98,50.92,27.45
2017-03-07,14.06,13.68,9.65,13.95,59.97,97.9,213.79,51.5,50.92,27.57
2017-03-08,14.13,14.17,9.76,14.01,59.97,98.65,212.94,51.15,50.44,27.75
2017-03-09,14.13,14.23,9.76,14.04,60.55,97.97,211.14,51.15,50.44,27.66
2017-03-10,14.15,14.41,9.86,14.07,61.23,98.43,207.63,50.8,50.44,27.66
2017-03-13,14.4,13.93,10.18,13.92,60.94,98.35,204.88,49.92,50.44,27.48
2017-03-14,14.44,13.86,10.07,13.95,60.94,97.9,200.14,49.04,49.95,27.78
2017-03-15,14.44,14.05,10.28,13.83,61.23,97.75,196.34,48.08,49.47,27.63
2017-03-16,14.42,14.11,10.25,13.83,62.02,98.5,202.98,48.34,50.24,27.6
2017-03-17,14.25,14.23,10.14,13.95,62.75,100.23,200.71,48.34,50.05,27.51
2017-03-20,14.34,14.53,10.14,14.49,61.66,100.99,201.94,48.87,49.85,27.6
2017-03-21,14.16,15.2,10.14,14.55,61.92,100.99,197.29,48.34,49.66,27.72
2017-03-22,14.35,15.2,10.53,14.64,61.95,100.91,198.24,48.16,49.66,28.15
2017-03-23,14.7,15.14,10.77,14.49,62.17,102.19,194.63,47.81,49.66,28.15
2017-03-24,14.54,15.51,10.77,14.49,61.01,102.95,192.55,46.58,49.47,27.84
2017-03-27,14.66,15.32,10.77,14.49,60.76,105.66,191.6,46.76,49.47,28.99
2017-03-28,14.76,15.02,10.95,14.49,60.83,106.79,189.7,47.9,49.47,28.81
2017-03-29,14.76,14.96,10.81,14.49,59.86,107.02,189.7,47.46,49.47,28.75
2017-03-30,14.73,15.02,10.74,15.48,59.86,106.11,188.75,47.11,49.27,28.63
2017-03-31,14.88,14.9,10.7,15.21,60.4,106.87,189.7,47.28,49.47,28.69
2017-04-03,15.41,15.2,10.88,15.21,60.76,108.52,191.6,47.81,49.27,28.45
2017-04-04,15.72,15.38,10.74,15.18,60.69,108.0,189.7,48.34,48.88,28.57
2017-04-05,16.44,15.32,10.81,15.33,60.4,108.75,190.08,48.08,48.59,28.03
2017-04-07,16.62,15.08,10.81,15.15,60.04,108.52,190.08,47.72,48.79,28.39
2017-04-10,16.18,14.84,10.77,14.97,60.22,108.07,192.55,48.16,49.08,28.12
2017-04-11,16.38,14.41,10.74,14.79,60.22,107.47,194.44,50.27,48.79,28.39
2017-04-12,16.44,14.05,10.7,14.82,59.9,107.47,198.24,50.63,48.59,28.39
2017-04-13,16.41,13.99,10.95,14.91,60.8,108.15,196.82,50.54,48.69,28.36
2017-04-14,16.26,13.93,10.74,14.97,60.94,108.52,192.55,49.29,48.3,28.72
2017-04-17,16.2,13.68,10.84,14.97,61.3,107.85,194.44,48.67,48.5,28.54
2017-04-18,15.9,13.93,10.63,14.85,60.29,106.79,193.5,47.96,48.5,27.81
2017-04-19,15.69,13.8,10.56,14.97,59.5,107.02,196.34,48.05,48.21,27.6
2017-04-20,15.56,13.8,10.63,15.03,58.78,108.83,194.44,49.03,48.01,27.78
2017-04-21,15.92,13.8,10.49,15.33,60.22,109.58,191.13,48.94,48.11,27.78
2017-04-24,15.66,13.68,10.49,15.21,59.86,109.2,189.7,48.05,48.11,27.69
2017-04-25,15.66,13.44,10.56,15.15,60.04,109.05,190.65,47.69,47.62,27.69
