<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KDC,20200228,17.90,18.35,17.75,18.10,27530,17.90,18.35,17.75,18.10,0,0,3250
KDC,20200227,18.40,18.40,18.00,18.40,17610,18.40,18.40,18.00,18.40,0,0,3250
KDC,20200226,18.40,18.40,18.00,18.40,75080,18.40,18.40,18.00,18.40,0,0,14900
KDC,20200225,18.20,18.40,17.90,18.40,82740,18.20,18.40,17.90,18.40,0,43000,18470
KDC,20200224,18.50,18.50,17.90,18.20,87940,18.50,18.50,17.90,18.20,0,43000,18470
KDC,20200221,18.20,18.50,18.20,18.50,30230,18.20,18.50,18.20,18.50,0,2000,8460
KDC,20200220,18.10,18.55,18.00,18.30,72610,18.10,18.55,18.00,18.30,0,0,49970
KDC,20200219,18.00,18.10,17.80,17.95,64070,18.00,18.10,17.80,17.95,0,0,49970
KDC,20200218,18.00,18.30,18.00,18.00,71300,18.00,18.30,18.00,18.00,0,7010,1460
KDC,20200217,18.00,18.15,17.80,18.00,22360,18.00,18.15,17.80,18.00,0,7010,1460
KDC,20200214,18.15,18.15,17.95,18.00,36040,18.15,18.15,17.95,18.00,0,340,13000
KDC,20200213,18.20,18.20,17.90,18.00,45240,18.20,18.20,17.90,18.00,0,70,12260
KDC,20200212,18.35,18.40,17.90,18.15,39820,18.35,18.40,17.90,18.15,0,1000,20700
KDC,20200211,18.00,18.40,18.00,18.15,28550,18.00,18.40,18.00,18.15,0,30,8330
KDC,20200210,18.40,18.40,17.90,17.90,15910,18.40,18.40,17.90,17.90,0,30,8330
KDC,20200207,18.25,18.50,18.15,18.40,37640,18.25,18.50,18.15,18.40,0,680,9340
KDC,20200206,18.00,18.30,18.00,18.25,119290,18.00,18.30,18.00,18.25,0,2200,52100
KDC,20200205,18.20,18.20,17.80,18.00,120840,18.20,18.20,17.80,18.00,0,1000,39650
KDC,20200204,18.60,18.60,17.90,18.20,122860,18.60,18.60,17.90,18.20,0,160,22970
KDC,20200203,18.60,18.60,17.60,18.60,359830,18.60,18.60,17.60,18.60,33700,1900,70890
KDC,20200131,18.45,19.10,18.40,18.90,39210,18.45,19.10,18.40,18.90,0,100,3810
KDC,20200130,19.10,19.15,18.40,19.15,40880,19.10,19.15,18.40,19.15,0,230,13200
KDC,20200122,19.10,19.20,18.70,19.20,40940,19.10,19.20,18.70,19.20,0,0,5700
KDC,20200121,18.30,19.10,18.30,19.10,41390,18.30,19.10,18.30,19.10,0,0,15790
KDC,20200120,19.15,19.15,18.80,19.10,54720,19.15,19.15,18.80,19.10,0,4000,17600
KDC,20200117,19.20,19.20,18.80,19.10,63340,19.20,19.20,18.80,19.10,0,1000,34300
KDC,20200116,19.00,19.30,18.90,19.20,48230,19.00,19.30,18.90,19.20,0,0,16260
KDC,20200115,19.30,19.30,19.00,19.10,51970,19.30,19.30,19.00,19.10,0,0,16430
KDC,20200114,19.30,19.30,19.00,19.30,55380,19.30,19.30,19.00,19.30,0,50,12620
KDC,20200113,19.45,19.45,19.00,19.35,49390,19.45,19.45,19.00,19.35,0,0,0
KDC,20200110,19.00,19.30,18.95,19.30,57670,19.00,19.30,18.95,19.30,1333430,0,1348520
KDC,20200109,19.60,19.60,19.00,19.00,159090,19.60,19.60,19.00,19.00,0,0,117750
KDC,20200108,19.80,19.80,19.10,19.60,112720,19.80,19.80,19.10,19.60,0,2240,25090
KDC,20200107,19.15,19.90,19.15,19.80,62040,19.15,19.90,19.15,19.80,1815000,1060,26220
KDC,20200106,19.80,19.80,19.10,19.15,75080,19.80,19.80,19.10,19.15,0,1060,26220
KDC,20200103,19.60,19.85,19.30,19.80,65670,19.60,19.85,19.30,19.80,0,70,20750
KDC,20200102,19.45,19.60,19.30,19.60,60080,19.45,19.60,19.30,19.60,0,550,20000
KDC,20191231,19.50,19.55,18.90,19.45,121730,19.50,19.55,18.90,19.45,0,1010,36870
KDC,20191230,19.30,19.50,18.90,19.50,180870,19.30,19.50,18.90,19.50,189990,30,31920
KDC,20191227,19.20,19.50,18.65,19.30,164220,19.20,19.50,18.65,19.30,0,240,98460
KDC,20191226,19.20,19.50,18.80,19.50,74450,19.20,19.50,18.80,19.50,105000,0,16930
KDC,20191225,18.50,19.00,18.10,19.00,59850,18.50,19.00,18.10,19.00,0,100,13330
KDC,20191224,18.50,18.70,18.40,18.50,52570,18.50,18.70,18.40,18.50,0,30,31920
KDC,20191223,18.15,18.60,18.00,18.50,130410,18.15,18.60,18.00,18.50,0,0,66120
KDC,20191220,18.45,18.50,18.15,18.50,105990,18.45,18.50,18.15,18.50,0,0,59890
KDC,20191219,18.60,18.60,17.90,18.50,247190,18.60,18.60,17.90,18.50,0,2400,116990
KDC,20191218,18.70,18.85,18.55,18.60,56960,18.70,18.85,18.55,18.60,0,460,26360
KDC,20191217,19.00,19.10,18.50,18.70,110490,19.00,19.10,18.50,18.70,0,90,60220
KDC,20191216,19.00,19.10,18.80,19.10,22430,19.00,19.10,18.80,19.10,0,1000,7230
KDC,20191213,19.20,19.20,18.90,19.00,42690,19.20,19.20,18.90,19.00,0,2350,14210
KDC,20191212,19.00,19.20,19.00,19.20,27720,19.00,19.20,19.00,19.20,0,0,4560
KDC,20191211,19.25,19.30,18.80,19.00,48120,19.25,19.30,18.80,19.00,0,500,11540
