<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
^VN30,20200228,848.34,848.34,823.13,831.97,103877027
^VN30,20200227,841.68,848.91,836.69,848.34,63947049
^VN30,20200226,849.58,849.58,838.01,841.68,58896320
^VN30,20200225,837.40,849.58,830.56,849.58,92349850
^VN30,20200224,868.89,868.89,837.40,837.40,109257339
^VN30,20200221,871.40,877.47,868.78,868.89,78411936
^VN30,20200220,866.58,872.71,864.32,871.40,61106480
^VN30,20200219,861.71,865.40,859.67,863.84,69129280
^VN30,20200218,866.61,866.61,858.85,861.71,70892894
^VN30,20200217,866.94,867.40,862.95,866.27,60906930
^VN30,20200214,867.47,868.84,863.22,865.86,74645390
^VN30,20200213,862.14,864.59,858.61,864.16,58430270
^VN30,20200212,861.45,869.92,860.49,863.23,80775330
^VN30,20200211,852.87,859.16,852.87,856.39,70070560
^VN30,20200210,863.49,863.49,848.47,852.87,52515647
^VN30,20200207,862.86,865.85,858.13,863.49,86382280
^VN30,20200206,845.31,862.86,843.38,862.86,104243694
^VN30,20200205,851.84,854.31,840.53,845.31,81526613
^VN30,20200204,842.67,849.76,834.10,845.52,81815180
^VN30,20200203,848.63,848.63,804.53,842.67,102316520
^VN30,20200131,875.82,876.56,848.63,848.63,114382080
^VN30,20200130,909.09,909.09,870.83,875.82,84978800
^VN30,20200122,906.52,909.09,903.60,909.09,57214500
^VN30,20200121,897.40,907.43,897.40,906.52,63140960
^VN30,20200120,894.84,897.40,891.93,897.40,64420690
^VN30,20200117,891.96,897.63,891.69,894.84,78682342
^VN30,20200116,885.36,892.12,884.23,891.96,85588867
^VN30,20200115,884.77,886.31,882.83,885.36,56696300
^VN30,20200114,881.79,886.70,880.69,884.77,101579404
^VN30,20200113,883.66,885.33,881.52,881.79,44929423
^VN30,20200110,877.76,887.74,877.76,885.52,80596640
^VN30,20200109,865.18,878.30,865.18,877.76,63853510
^VN30,20200108,870.87,870.89,861.70,865.18,122997524
^VN30,20200107,872.34,877.05,870.59,876.70,62497863
^VN30,20200106,879.10,879.68,872.34,872.34,55225846
^VN30,20200103,888.36,890.37,883.28,883.28,44169390
^VN30,20200102,879.06,886.88,877.01,886.88,96928880
^VN30,20191231,880.29,881.86,876.67,879.06,62934988
^VN30,20191230,876.58,881.11,876.49,880.29,35563500
^VN30,20191227,872.07,876.38,868.20,876.38,52757470
^VN30,20191226,873.18,874.87,869.63,872.07,75604940
^VN30,20191225,869.88,874.80,869.28,873.18,73158714
^VN30,20191224,868.20,869.88,865.15,869.88,76632756
^VN30,20191223,868.37,872.67,868.20,868.20,91493580
^VN30,20191220,863.88,869.44,862.46,868.37,91386150
^VN30,20191219,862.53,867.02,858.94,862.23,90455630
^VN30,20191218,865.43,867.49,861.05,863.16,95666040
^VN30,20191217,876.91,877.44,867.14,867.44,88870666
^VN30,20191216,880.55,880.55,874.24,876.65,114566430
^VN30,20191213,884.80,888.26,880.55,880.55,92783280
^VN30,20191212,878.27,885.64,878.27,884.80,75058991
^VN30,20191211,873.16,878.27,869.30,878.27,91840279
^VN30,20191210,879.94,880.18,870.45,873.16,99733391
^VN30,20191209,879.55,882.48,876.26,879.94,91165370
^VN30,20191206,879.32,882.59,876.66,880.43,73276900
^VN30,20191205,883.56,886.21,878.39,879.32,84367701
^VN30,20191204,868.68,883.56,865.64,883.56,99433640
^VN30,20191203,875.10,877.85,866.16,868.68,128605228
^VN30,20191202,887.47,889.12,875.10,875.10,92046005
^VN30,20191129,886.65,888.36,882.98,887.47,75454338
^VN30,20191128,893.31,895.25,883.30,885.70,90570301
^VN30,20191127,897.50,900.95,895.06,895.06,72437644
^VN30,20191126,898.62,900.59,896.49,897.50,84589693
^VN30,20191125,892.31,896.19,886.81,894.80,71837850
^VN30,20191122,905.89,906.51,885.85,892.31,99037567
^VN30,20191121,914.46,915.14,898.23,898.23,97468109
^VN30,20191120,926.07,926.43,917.00,917.00,82278950
^VN30,20191119,920.95,926.07,920.11,926.07,100619028
^VN30,20191118,927.36,929.13,920.52,920.95,76773110
^VN30,20191115,929.03,930.56,922.78,927.36,78864280
^VN30,20191114,933.02,935.50,927.14,928.44,81597440
^VN30,20191113,939.82,940.91,931.15,932.60,150833241
^VN30,20191112,939.36,942.51,938.12,939.82,70788598
^VN30,20191111,944.70,946.53,939.00,939.72,88926330
^VN30,20191108,946.44,948.14,942.40,944.70,89559420
^VN30,20191107,942.38,945.22,940.29,944.25,94502463
^VN30,20191106,941.39,945.32,940.89,942.38,90391060
^VN30,20191105,941.40,944.18,938.88,942.34,79388127
^VN30,20191104,936.40,941.41,932.47,940.25,100174667
^VN30,20191101,922.68,934.19,922.68,933.55,105607575
^VN30,20191031,925.07,928.75,922.09,922.68,71766070
^VN30,20191030,923.97,928.73,922.70,925.07,67313320
^VN30,20191029,926.45,928.18,923.97,923.97,77204833
^VN30,20191028,927.85,929.93,925.97,925.97,79928384
^VN30,20191025,925.30,927.05,923.69,927.05,67758550
^VN30,20191024,920.28,925.25,919.22,925.25,67501060
^VN30,20191023,916.81,919.61,916.04,919.61,66333164
^VN30,20191022,914.11,917.52,913.10,916.81,63918290
^VN30,20191021,919.13,919.13,914.00,914.00,78715556
^VN30,20191018,919.10,922.59,916.91,919.13,69308160
^VN30,20191017,924.64,924.75,919.10,919.10,82960977
^VN30,20191016,923.27,927.76,923.27,924.64,72440190
^VN30,20191015,921.91,924.79,920.63,923.27,81616780
^VN30,20191014,916.68,924.55,916.68,921.91,93986472
^VN30,20191011,913.05,917.04,913.05,916.68,78834405
^VN30,20191010,914.54,917.07,912.35,913.05,71794278
^VN30,20191009,915.27,917.81,912.91,914.54,80410710
^VN30,20191008,907.50,915.27,906.91,915.27,77350560
^VN30,20191007,916.22,917.25,907.50,907.50,71489751
^VN30,20191004,921.70,924.29,915.16,915.16,81102190
^VN30,20191003,913.71,921.70,911.68,921.70,86274330
^VN30,20191002,926.31,927.12,917.68,919.73,76985682
^VN30,20191001,922.89,926.31,921.90,926.31,107040950
^VN30,20190930,924.83,930.73,922.79,922.89,67311556
^VN30,20190927,918.10,925.58,918.10,924.83,75579930
^VN30,20190926,912.91,918.10,912.03,918.10,65883001
^VN30,20190925,910.76,913.33,906.74,912.42,85175290
^VN30,20190924,909.98,914.00,908.24,910.76,72141575
^VN30,20190923,915.16,918.42,909.98,909.98,92464786
^VN30,20190920,918.88,920.65,914.70,915.16,86758510
^VN30,20190919,913.88,918.88,909.99,918.88,72210480
^VN30,20190918,912.38,914.91,911.08,913.48,96813606
^VN30,20190917,908.60,912.85,904.62,912.38,76679097
^VN30,20190916,905.05,909.53,902.99,908.60,82374241
^VN30,20190913,894.32,905.05,894.05,905.05,81085124
^VN30,20190912,887.99,894.32,887.99,894.32,56295531
^VN30,20190911,883.04,885.93,881.56,885.52,67460950
^VN30,20190910,886.74,888.38,881.31,883.04,58050240
^VN30,20190909,886.76,886.97,883.76,885.61,37164220
^VN30,20190906,887.54,889.20,884.97,885.95,40543850
^VN30,20190905,889.87,891.28,886.10,886.10,42074670
^VN30,20190904,888.95,890.16,884.03,887.12,41234740
^VN30,20190903,893.28,893.94,886.64,888.97,45768490
^VN30,20190830,891.44,893.42,889.95,892.51,40839960
^VN30,20190829,887.16,889.13,882.30,889.13,42613720
^VN30,20190828,888.12,890.46,885.39,886.08,41622640
^VN30,20190827,896.71,899.18,886.91,886.91,59291850
^VN30,20190826,893.00,893.37,887.18,892.48,65313090
^VN30,20190823,902.08,902.17,897.00,900.53,49584900
^VN30,20190822,901.55,904.35,899.58,901.29,46933460
^VN30,20190821,892.47,901.15,892.09,900.54,56164360
^VN30,20190820,893.50,894.59,891.18,894.45,41244380
^VN30,20190819,895.31,896.99,889.39,891.78,39311010
^VN30,20190816,887.57,900.31,887.31,892.44,70252830
^VN30,20190815,870.28,890.78,868.05,890.78,50395380
^VN30,20190814,886.30,886.59,880.42,880.51,44297320
^VN30,20190813,879.77,881.42,875.44,877.97,59070490
^VN30,20190812,879.13,883.41,877.40,882.23,44745840
^VN30,20190809,877.55,880.23,874.72,878.62,46667200
^VN30,20190808,868.01,876.79,866.90,875.81,58877170
^VN30,20190807,867.98,871.78,863.79,868.27,40017410
^VN30,20190806,860.67,866.20,858.02,866.13,52907240
^VN30,20190805,882.33,883.87,872.39,872.39,53465930
^VN30,20190802,878.86,885.82,878.03,885.29,54739360
^VN30,20190801,882.92,887.39,881.71,887.39,41754860
^VN30,20190731,876.72,884.02,874.44,883.19,43400530
^VN30,20190730,891.68,892.15,877.92,877.92,44932360
^VN30,20190729,887.66,889.87,881.11,888.54,44918580
^VN30,20190726,889.44,891.76,886.14,887.84,45307890
^VN30,20190725,885.91,892.23,885.29,890.41,54563440
^VN30,20190724,890.32,892.72,885.91,887.39,46413440
^VN30,20190723,879.29,888.42,878.24,888.26,48223670
^VN30,20190722,879.87,885.26,878.54,879.62,48837900
^VN30,20190719,873.99,880.91,873.99,880.79,63926250
^VN30,20190718,876.92,876.92,870.81,870.81,44968100
^VN30,20190717,881.51,882.82,877.59,879.75,59853640
^VN30,20190716,876.06,880.91,876.06,880.91,48665170
^VN30,20190715,876.57,876.57,871.00,873.71,42053110
^VN30,20190712,881.20,882.74,874.99,874.99,46827980
^VN30,20190711,879.36,880.79,876.82,879.10,39213260
^VN30,20190710,873.83,878.32,873.83,876.12,41858640
^VN30,20190709,869.79,872.52,866.40,872.21,41064380
^VN30,20190708,876.92,876.92,867.45,870.92,44396550
^VN30,20190705,880.23,882.07,876.44,880.23,41267320
^VN30,20190704,870.56,879.72,870.56,879.72,49311640
^VN30,20190703,872.15,872.15,865.76,869.58,42594210
^VN30,20190702,874.84,876.92,870.71,872.92,38741880
^VN30,20190701,868.03,876.26,868.03,876.26,49225200
^VN30,20190628,854.59,864.24,848.64,864.24,43760910
^VN30,20190627,866.84,867.06,854.41,854.41,44966190
^VN30,20190626,868.16,870.36,865.85,866.81,41570560
^VN30,20190625,867.88,870.37,866.30,868.50,38482520
^VN30,20190624,867.55,873.20,867.41,868.94,40701190
^VN30,20190621,867.27,870.16,866.04,866.53,72303640
^VN30,20190620,854.24,867.87,854.24,864.59,53355700
^VN30,20190619,853.12,854.81,851.20,854.34,39852300
^VN30,20190618,852.72,853.87,845.59,848.17,42999880
^VN30,20190617,860.75,862.15,851.99,852.99,40074050
^VN30,20190614,859.41,864.18,859.41,861.65,34401390
^VN30,20190613,863.69,864.30,857.91,859.68,32318410
^VN30,20190612,870.45,871.58,865.42,865.42,32449060
^VN30,20190611,873.19,874.28,870.32,870.91,29455250
^VN30,20190610,874.10,877.33,867.29,872.49,44465190
^VN30,20190607,863.15,869.56,862.95,869.56,33454350
^VN30,20190606,864.61,865.14,851.65,861.31,38238280
^VN30,20190605,870.15,871.56,863.69,863.69,27109050
^VN30,20190604,864.44,868.62,857.94,864.35,32528920
^VN30,20190603,873.25,873.86,858.64,864.08,51473370
^VN30,20190531,883.21,884.56,876.29,876.29,34297640
^VN30,20190530,883.13,888.56,880.04,883.37,29873700
^VN30,20190529,885.80,886.96,882.15,883.52,33829930
^VN30,20190528,889.54,891.55,883.67,885.27,30927150
^VN30,20190527,884.60,889.32,884.26,889.20,29654840
^VN30,20190524,894.22,898.24,884.48,884.48,66761966
^VN30,20190523,897.50,899.02,892.08,895.07,71633456
^VN30,20190522,901.49,906.99,897.27,897.66,55974947
^VN30,20190521,901.79,907.64,900.97,901.36,107487327
^VN30,20190520,890.16,901.06,888.12,901.06,47482000
^VN30,20190517,892.93,893.44,888.56,890.53,45043350
^VN30,20190516,893.70,896.34,891.93,891.93,49486023
^VN30,20190515,882.99,893.68,882.99,893.22,49238440
^VN30,20190514,879.14,882.67,871.96,882.67,43976340
^VN30,20190513,876.16,879.64,874.68,879.64,54028550
^VN30,20190510,871.28,877.59,871.28,876.45,38762280
^VN30,20190509,872.71,875.89,868.73,871.50,90237872
^VN30,20190508,872.22,874.89,867.18,872.78,47724737
^VN30,20190507,880.06,885.23,876.18,877.02,51569880
^VN30,20190506,893.83,893.83,875.71,878.80,49560271
^VN30,20190503,893.80,895.70,889.20,895.42,52222930
^VN30,20190502,890.60,893.89,889.61,893.87,52673482
^VN30,20190426,885.47,890.69,882.58,890.55,37399720
^VN30,20190425,888.57,888.91,883.72,885.65,39485828
^VN30,20190424,877.97,889.02,877.97,888.65,38140279
^VN30,20190423,878.38,881.67,875.05,878.29,55093735
^VN30,20190422,880.90,880.90,873.55,878.23,37552460
^VN30,20190419,877.07,884.77,877.07,880.52,28990620
^VN30,20190418,884.29,887.48,876.20,877.02,46615161
^VN30,20190417,886.65,891.78,885.64,885.66,57680300
^VN30,20190416,890.81,890.81,877.38,887.76,49241992
^VN30,20190412,895.95,895.95,891.71,893.10,47490312
^VN30,20190411,893.60,896.68,892.62,896.04,29938150
^VN30,20190410,899.91,899.91,887.75,893.19,47254179
^VN30,20190409,906.46,908.94,898.80,900.07,48105650
^VN30,20190408,904.92,907.20,900.97,906.55,37416600
^VN30,20190405,904.61,905.76,902.77,904.69,82250924
^VN30,20190404,902.07,906.29,900.97,904.33,41136090
^VN30,20190403,902.71,903.05,897.47,901.50,102306421
^VN30,20190402,907.18,912.94,902.43,903.59,81305939
^VN30,20190401,900.17,905.94,900.17,905.87,65164654
^VN30,20190329,901.64,906.84,900.13,900.13,63637613
^VN30,20190328,901.51,903.88,898.17,901.65,58431107
^VN30,20190327,895.71,903.35,895.71,901.76,46173460
^VN30,20190326,893.78,901.81,892.47,894.58,46963410
^VN30,20190325,912.10,912.10,889.17,893.40,69541043
^VN30,20190322,907.94,914.69,906.64,912.27,65708152
^VN30,20190321,924.22,928.32,907.87,907.87,57538243
^VN30,20190320,927.54,927.54,914.77,924.12,161402170
^VN30,20190319,933.56,935.67,924.91,927.56,70150176
^VN30,20190318,927.16,935.16,926.85,932.75,80417060
^VN30,20190315,934.87,934.87,924.45,927.06,94750144
^VN30,20190314,935.72,937.82,931.33,934.42,64935945
^VN30,20190313,929.93,939.17,929.93,935.41,77984010
^VN30,20190312,919.21,929.86,919.21,929.86,72484990
^VN30,20190311,915.00,918.73,911.88,916.24,35405600
^VN30,20190308,922.16,922.16,913.39,914.74,55057203
^VN30,20190307,923.77,930.79,922.29,922.29,57962777
^VN30,20190306,923.71,926.32,916.89,923.58,41449805
^VN30,20190305,928.25,931.23,922.05,923.66,87176606
^VN30,20190304,915.39,929.28,915.39,928.42,62290610
^VN30,20190301,904.96,915.99,904.96,915.32,44926648
^VN30,20190228,930.37,930.81,904.98,904.98,82018530
^VN30,20190227,929.78,935.76,928.59,930.54,60737463
^VN30,20190226,939.56,941.45,922.93,929.51,68952310
^VN30,20190225,929.57,944.01,929.50,939.47,83138520
^VN30,20190222,926.30,934.65,920.78,929.50,78219620
^VN30,20190221,912.83,926.09,911.38,926.09,65385120
^VN30,20190220,907.31,913.51,906.64,911.80,60723395
^VN30,20190219,905.09,915.31,905.09,907.82,85352350
^VN30,20190218,899.75,904.93,899.74,904.93,53773163
^VN30,20190215,900.14,903.11,895.13,897.74,57365790
^VN30,20190214,897.88,904.11,897.30,900.12,67272313
^VN30,20190213,887.60,897.42,887.60,897.42,84311386
^VN30,20190212,878.69,890.16,878.68,888.33,70593755
^VN30,20190211,862.20,878.67,862.20,878.67,52664835
^VN30,20190201,866.01,868.15,859.38,859.81,59944352
^VN30,20190131,869.38,874.09,863.85,866.06,52263860
^VN30,20190130,872.01,872.01,867.92,869.16,40370590
^VN30,20190129,868.81,872.03,863.22,872.03,36414871
^VN30,20190128,867.60,871.56,865.90,868.76,29712440
^VN30,20190125,865.44,869.53,865.44,867.70,37043930
^VN30,20190124,861.63,866.49,861.04,865.52,41757820
^VN30,20190123,859.26,864.83,856.77,861.73,41091097
^VN30,20190122,864.45,865.92,859.09,859.17,37808310
^VN30,20190121,855.00,865.59,855.00,864.10,50871092
