Date,CTG,FPT,HPG,MBB,MSN,REE,SBT,SSI,STB,VCB,VIC,VNM
12/28/2018,19300,36884.358,23807.6923,17532.1928,77500,29242.6966,19164.9706,25511.1111,11950,53027.0718,95300,115669.012
12/27/2018,19350,36534.7432,23807.6923,17757.5423,79000,29337.6404,19303.1795,25846.1538,12000,53027.0718,102400,118753.519
12/26/2018,19300,36185.1284,23307.6923,17667.4025,79000,29147.7528,18980.692,25511.1111,11950,52333.2597,101900,118560.7373
12/25/2018,19700,36272.5321,23384.6154,17757.5423,80000,29052.809,18980.692,25702.5641,11950,52234.1436,101900,119134.4183
12/24/2018,20350,36709.5506,23461.5385,18433.5909,79000,29717.4157,18704.2742,25846.1538,12150,52630.6077,102000,120090.5532
12/21/2018,20850,37146.569,23038.4615,18884.2899,78600,30049.7191,18519.9956,26659.8291,12100,54018.232,102000,117126.5348
12/20/2018,20200,36753.2524,23038.4615,18884.2899,81000,30144.6629,18023.1177,26947.0085,12250,54117.3481,101900,120664.2342
12/19/2018,20400,36796.9543,22846.1538,19064.5695,81500,30334.5506,17887.6055,26899.1453,12450,53919.116,102000,123437.0257
12/18/2018,21450,36709.5506,23923.0769,19199.7792,81200,30239.6067,18068.2884,26994.8718,12400,54612.9282,102000,125922.9766
12/17/2018,21650,37583.5875,24923.0769,19154.7093,82000,30049.7191,18519.9956,27329.9145,12500,54315.5801,102500,128026.4736
12/14/2018,22350,38588.73,25769.2308,19650.4783,85500,30761.7978,18610.337,28047.8632,12800,56000.5525,102700,129078.222
12/13/2018,23150,38982.0466,26153.8462,20011.0375,87100,31189.0449,18971.7028,28430.7692,12900,57090.8287,102800,129078.222
12/12/2018,23500,38850.941,25846.1538,20281.457,87000,31331.4607,18248.9713,28382.906,12700,57487.2928,102200,128122.0871
12/11/2018,23300,38501.3263,25730.7692,20056.1074,85900,31046.6292,18158.6298,27904.2735,12500,56297.9006,102200,128886.995
12/10/2018,23100,38632.4318,25961.5385,19920.8977,85600,31378.9326,18203.8006,28000,12500,56397.0166,102100,129078.222
12/7/2018,24050,39419.065,26653.8462,20281.457,84600,31663.764,18113.4591,28382.906,12650,56694.3646,102200,128026.4736
12/6/2018,23950,38807.2392,26615.3846,20281.457,83800,31568.8202,18023.1177,28143.5897,12600,56397.0166,102100,125922.9766
12/5/2018,24100,38982.0466,27153.8462,20011.0375,84100,31711.236,17887.6055,28239.3162,12700,57289.0608,102100,127165.9521
12/4/2018,23900,39287.9595,26615.3846,19830.7579,84100,31663.764,18655.5078,28191.453,12800,57090.8287,102000,130512.4245
12/3/2018,24150,39244.2577,26769.2308,19965.9676,82200,31473.8764,18971.7028,28382.906,12800,57487.2928,101900,127739.6331
11/30/2018,23000,37496.1838,25538.4615,19425.1288,80000,30192.1348,19062.0443,27282.0513,12150,54910.2762,101700,122385.2772
11/29/2018,22850,37496.1838,26307.6923,18839.22,81000,30761.7978,19423.41,27090.5983,12150,54513.8122,102000,120759.8477
11/28/2018,22750,37408.7801,27076.9231,18794.1501,81300,30714.3258,19829.9465,26994.8718,12250,54612.9282,102000,122385.2772
11/27/2018,22300,37365.0783,27384.6154,18613.8705,82000,30714.3258,19829.9465,26755.5556,12150,52927.9558,101500,120951.0747
11/26/2018,22500,37102.8672,27384.6154,18749.0802,82100,30856.7416,19513.7515,26611.9658,12300,53522.6519,100500,117700.2158
11/23/2018,22450,37627.2894,27346.1538,18884.2899,81600,31046.6292,19513.7515,26707.6923,12250,53522.6519,99000,112823.9274
11/22/2018,22950,37933.2023,27538.4615,19109.6394,82000,30856.7416,19513.7515,27425.641,12400,54315.5801,98000,114831.8109
11/21/2018,23300,37933.2023,28076.9231,19244.8492,81200,30951.6854,19604.0929,27664.9573,12250,54910.2762,97300,113971.2894
11/20/2018,23200,37933.2023,28076.9231,19019.4996,81800,29575,19604.0929,27186.3248,12200,53324.4199,97200,111389.7249
11/19/2018,23050,37714.693,27269.2308,19199.7792,81800,29717.4157,19558.9222,27282.0513,12300,53522.6519,96400,110337.9765
11/16/2018,21950,37365.0783,27076.9231,19154.7093,79600,29527.5281,19513.7515,26516.2393,12100,52729.7238,90100,109955.5225
11/15/2018,21250,36884.358,26923.0769,18433.5909,79400,29147.7528,19107.215,26420.5128,12000,52927.9558,91700,111867.7924
11/14/2018,21200,36928.0598,27538.4615,18253.3113,79000,28957.8652,20507.5073,26611.9658,11950,52729.7238,94700,112345.8599
11/13/2018,22000,36403.6377,28384.6154,18523.7307,79000,29385.1124,20191.3123,26659.8291,12000,53126.1878,93300,110911.6575
11/12/2018,22450,36665.8487,28884.6154,18749.0802,83600,29575,20371.9952,27090.5983,12200,54117.3481,95900,111867.7924
11/9/2018,22600,36054.0229,28923.0769,18839.22,84300,29622.4719,20191.3123,26611.9658,12350,53820,95900,111867.7924
11/8/2018,23200,36840.6561,29923.0769,19289.9191,84500,30049.7191,20146.1416,27425.641,12600,55207.6243,96000,114736.1974
11/7/2018,23250,36578.445,30115.3846,19380.0589,84700,29717.4157,20281.6537,27282.0513,12700,55009.3923,96000,114258.1299
