lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.0,-415387.22198601096,0.00042891968004034813,0.3999999999961423,0.1789303915425669,0.003210744983353325,0.0004219094870065015,0.0002585504350045079,0.018930332158617214,0.0004289196869393098,0.3969683225433252,0.00042190948700649713
0.0005,-415439.79111138923,0.0011557828581353615,0.4,0.18597731305283768,0.0052757705235453155,0.0004180468353524674,0.0002683846790586605,0.0053236452069462285,0.0011630100086906145,0.4,0.0004180468354363158
0.001,-414301.34176329494,0.0014317950011492725,0.4,0.1677989653004562,0.005582721803177882,0.0005243654583862975,0.00016251242522293474,0.0225431850919918,0.0014320890537213794,0.4,0.0005243658658954512
0.0015,-413463.52941909694,0.0007408386840818826,0.3999999999999997,0.15735442392046006,0.010057105316178977,0.0006231965430206147,0.00033102610888946624,0.028543438973877375,0.0017269007049048554,0.4,0.0006230697485900293
0.002,-408883.90031924186,0.003648265804323768,0.4,0.10004771011711984,0.0392472528478852,0.0036445435599593533,0.0026459694128398896,0.04339659146389317,0.003726765300619957,0.4,0.003642901493362407
0.0025,-413494.4454456013,0.0004625055636556379,0.3999999913872701,0.20486795949735925,0.0009515057694884764,0.00044548855296548564,0.00011315233198245856,0.014277675227524187,0.00046250556311895527,0.3779737275526392,0.0004454885539991168
0.003,-412212.5944103568,0.0017805522958153671,0.4,0.15567372362503476,0.015751899601455524,0.0005999912249752831,0.0005974934495366293,0.02321762326022077,0.0017811781395055274,0.3999999988509,0.0005975395525589653
0.0035,-413985.3886162757,0.00023637941509073858,0.39999999999994346,0.191754098676884,0.002371661044587525,2.2235786354226065e-05,8.844657436028532e-06,0.0053473184949977505,0.0002372552630047459,0.3999999998798097,2.2206781894616948e-05
0.004,-411951.3426363135,0.0022727138746041486,0.4,0.16471031302889458,0.004037310370609868,0.0004702184789630837,0.0003677808423553592,0.02393414407613257,0.003741616770239671,0.4,0.00046590255820332224
0.0045,-411313.3998387882,0.0013430495669293175,0.4,0.15845192699334085,0.006185015321395737,0.0013113334040212089,0.000615326891522348,0.029437839115073205,0.0013442447839240776,0.4,0.0013112639237952376
0.005,-413346.2676606508,2.6221523391139936e-05,0.4,0.1993567908738608,0.00022339628084275376,1.051595871408928e-05,5.565240345312655e-06,0.0003282355895070399,3.875857462741588e-05,0.4000000000000001,1.0515958713686675e-05
0.0055,-412138.4232890377,0.0002639011084312208,0.4,0.1793532896872603,0.00034518999528861604,5.922583828900737e-05,4.935553224144305e-05,0.019567977926924718,0.00030183407331567597,0.4,5.922583825340638e-05
0.006,-410130.32024930406,0.004034902900899733,0.4,0.16037614261317645,0.004301918675507082,0.0012990646818588805,0.000287991244678609,0.024545934265653803,0.004035356144949325,0.4,0.0011186894732771082
0.0065,-410337.1026621207,0.0030156135977549552,0.4,0.1688892468215533,0.010382560647819304,0.0008716796897987082,0.0001449646018842154,0.0128078113866432,0.0030164435836510625,0.4,0.0008716796708981892
0.007,-411020.74994220334,0.0006880261211232831,0.4,0.1785511790721068,0.0006995826510324653,0.00013171222328073502,7.96072760879864e-05,0.019029791000535885,0.0006885379857140772,0.4,0.00013156367012095736
0.0075,-410502.8420630215,9.068974196580592e-05,0.3999999991907217,0.17348823457992738,0.009079537831162663,8.795953735785349e-05,5.955837631915647e-05,0.01704572934233107,9.068974229197628e-05,0.3999980432815961,5.955837632670752e-05
0.008,-405619.2166711153,0.007156459013270586,0.4,0.1094648409589118,0.030805897518033712,0.003007085081851549,0.0012371162598393865,0.039462757923774766,0.0076287269747979235,0.4,0.0012371162695220571
0.0085,-407009.70278592495,0.0021718703325967767,0.4,0.12188441045071832,0.0046347538017990466,0.0021718685466301426,4.598544385865774e-05,0.0648409047832137,0.0021888923071889197,0.4,0.002061314333995621
0.009,-408285.94617623155,0.005528089033469289,0.4,0.1643886647746107,0.005666475621469229,0.0005561581931590112,2.9671357201976362e-05,0.017746681584503817,0.00552810124248792,0.4,0.0005561581930997271
0.0095,-409574.7333358704,0.0006250119818361523,0.4,0.1865678958791572,0.003699079514727679,0.00031002383496413986,0.00024771615475832214,0.007611711003514815,0.0006285377960801923,0.4,0.00031002383496406657
0.01,-406632.4895476693,0.0021003032293363103,0.3999999638788361,0.14302467570903465,0.022768978515308333,0.001371332027465134,0.0009084444149921383,0.028704663633373526,0.002126886140219214,0.3980577294301032,0.000937023021332309
0.0105,-407339.51821495104,0.003545584583962532,0.3999999999999996,0.1640927716087743,0.012943432984212614,0.0008714761674272815,0.00037590599653018704,0.013752877061397243,0.0035464768121556242,0.3999999999999997,0.0008714747855421702
0.011,-408327.3970192958,0.0003687153824257719,0.4,0.1807255792856277,0.0074768749950964546,0.00015789481132102588,5.6808843342173184e-05,0.009356262973806215,0.0017001032400769036,0.4,0.000157760468304876
0.0115,-407845.52749168704,0.0005767000271979797,0.4000000000000001,0.1775065941750421,0.0064494660824689215,0.00036042783253908284,0.00026024754451542143,0.013909443228587122,0.0005767013534896209,0.4,0.000360419756161231
0.012,-404391.8847719722,0.004271571808750598,0.3999999999999959,0.27854783582278314,0.0046578833462162395,0.00019637270541003577,0.00010712826796214092,0.0046709674389916345,0.004271571808433852,0.30308029609604603,0.00019637270541006708
