lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.0,-1648.9392663969281,0.0003957887296625212,0.4,0.18037794784400527,0.008212984865481034,0.0003957887296644293,0.0003395056267857625,0.008271129381769092,0.0016672156964042694,0.4,0.00033963912623134133
0.005,-1009.9994412489923,0.0021978143890150565,0.4,0.10920741835304007,0.01911557454217383,0.0018888459367390844,0.00027369665557123817,0.062270028315394035,0.003157800375845707,0.3999999999999998,0.001888821432221565
0.01,-412.63330766943517,0.0005441811989768308,0.2491883345740537,0.11122014666539158,0.15077968615698914,0.00011682992939953592,7.706906987137213e-05,0.188652127935775,0.00010752673106210937,0.2992065710180448,0.00010752672043556263
0.015,150.2703430384402,0.0018398763907315602,0.17629923136385514,0.12470892037209295,0.22153794146046807,0.0008064799775855478,0.0008064740869307435,0.21745612850627455,0.0008062665407301278,0.2549330706350066,0.0008056106663252209
0.02,702.2281299710121,0.0003111408414110868,0.1448608828541505,0.13212551687647114,0.2551844665234619,0.0003110876673192645,0.0003079912422447145,0.2296469921058265,0.00026549268789276845,0.2367135278272843,0.0002729013739384214
0.025,1249.815831899619,0.0019136283416931973,0.11566605711737747,0.12331236098617185,0.2593007980907965,0.003924214204042738,0.05554863331323994,0.22389731457583364,0.001304272164280174,0.21381419502257984,0.0013185261839847404
0.03,1778.8186311749607,0.0057933724869304,0.0903628959192133,0.10940682859075013,0.2506096480673213,0.02189042737059589,0.1172832117710204,0.2114611670091371,8.338095264678794e-06,0.1931757725943893,8.338095376154859e-06
0.035,2299.0454958229,0.010198630858566404,0.07572464646356601,0.09857947196626103,0.2439175488007924,0.02898434890476393,0.154595468276853,0.2036273499566377,0.0007453693641881192,0.18016373845153613,0.0034634269568370947
0.04,2813.174521054692,0.01933780986243661,0.06155290899137152,0.09024458732910833,0.2382223302491624,0.039768684133250735,0.1777429643706022,0.19705853485428712,0.0015133557852336716,0.17106223224299455,0.0034965921815533433
0.045,3322.901089548766,0.0238386047604775,0.056761500425499725,0.08473698533692067,0.2353129650407373,0.04084875942946765,0.1967464053974433,0.19421286810028046,0.0007424564716258889,0.1641628873750532,0.0026365676624952672
0.05,3831.8603485856493,0.026200717559659168,0.05118912573572307,0.07972562533912578,0.2313335382293304,0.036827571535447065,0.21055455106185028,0.19106415066939186,0.0017630568206103976,0.15867256019719134,0.012669102851669709
0.055,4338.657423562509,0.028190165810959168,0.04267734012483284,0.07442771387332174,0.22754001688137804,0.041074720207832184,0.2194833547368855,0.18728335353146056,0.002635738857877896,0.15437764531706574,0.022309950658386053
0.06,4841.830816371203,0.02791988171410481,0.04457374854465905,0.06660871260089274,0.2243290286572396,0.04585247454841123,0.2277710622279145,0.18500102439829316,0.0007706940085032965,0.15015121390273173,0.02702215939725078
0.065,5345.3237950860575,0.02880216478956598,0.03716622987074311,0.06724230707541852,0.22295151493423496,0.04777731892980185,0.23472679838103835,0.1829538479703406,0.0009882093868742636,0.1477826644500537,0.029608944211928227
0.07,5847.334660880938,0.023812452331772583,0.029904900582287067,0.06850546312793193,0.22235249572370425,0.0498439292673139,0.24100826531053784,0.18100340511709725,0.00011195948842292417,0.1461566754944056,0.03730045355652757
0.075,6352.924199116414,0.007323470809590381,0.03215530349663857,0.06514308551560889,0.22084515441951885,0.05415938903913218,0.24691349284106776,0.17863454476800328,0.0016858854882865909,0.14513132051848124,0.048008353103671166
0.08,6854.564014031809,0.03724391005528885,0.02886627612116005,0.05590924911029376,0.21513315888381154,0.04768387740272528,0.2464811303472867,0.17783331720698764,0.00421296118416061,0.13981692155477854,0.04681919813350676
0.085,7350.795209089676,0.03039601834414338,0.02745732741736012,0.05658345611573563,0.21538270046928426,0.050852035324841637,0.2520993584872517,0.1767257938226645,0.00028167854456934453,0.13910031423892005,0.05112131723522879
0.09,7854.729552241178,0.029875257472124293,0.02358598929859864,0.0546459287975711,0.21368035955011566,0.051122966686477984,0.25465747365361163,0.17504247517871172,0.0034065225909491567,0.13791126271747425,0.05607176405436473
0.095,8352.955049014152,0.031329794394235354,0.023566529753417203,0.05250334117030641,0.21244738223310605,0.05102737948382675,0.25761706090613706,0.17434451767347,0.0018514143964808755,0.13628962866800876,0.059022951321010965
0.1,8856.452736543944,0.03688983579238569,0.027870470503334226,0.04801274619778436,0.21038944904739248,0.048168847748871146,0.2604155816628944,0.17425413656047545,0.004156184222671392,0.13349314943682306,0.05634959882736744
