lambda,markovitz_sqrt,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.0,-416349.67017595744,0.0002035549004704712,0.4,0.19423798298554631,0.002058654160436392,7.461425360449438e-05,7.460617728759369e-05,0.0021209046309209998,0.001155076712878773,0.4,7.460617886450911e-05
0.005,-408823.3778284369,0.0022145438888546863,0.4,0.19087890681565495,0.015368903910348963,0.0006759096034233918,0.00030172408210372417,0.020666046881896424,0.002248218286373469,0.3673440224492463,0.0003017240821038463
0.01,-406335.86711939663,0.0004887975858888607,0.4,0.1751987579931012,0.006098738027786961,0.00024507093089746297,0.00014301939679477966,0.017191966161386005,0.0004906304391289266,0.4,0.00014301946502562668
0.015,-402282.94970640546,0.000352487795376794,0.4,0.18922052759726374,0.003785502062263022,0.00035247950408155135,9.01121651780734e-05,0.005040316471906245,0.0008061092246620116,0.4,0.00035246517927834146
0.02,-397235.0826037929,0.00018040988388106716,0.4,0.17500754003564112,0.0008375839844057764,0.0001753651282570752,0.00014103705558616146,0.022685329900761702,0.0008316969558800796,0.4,0.00014103705559826126
0.025,-393474.6868877801,0.00021579432254502308,0.4000000000000001,0.19646709579771124,0.0009205184542116305,0.0002157249927491905,7.105108882103857e-05,0.0015919395556493608,0.00033375123122245733,0.4,0.00018412455709899104
0.03,-386841.97753995797,0.0011129374399099592,0.4,0.15436778283675964,0.012507351179120349,0.0011129236941323998,0.00046305153158421347,0.028273706508453882,0.001116454166647209,0.4,0.0010457926434012561
0.035,-382642.9787276019,0.00016939102270660427,0.4,0.17181462896651425,0.0006779149146080557,0.00016939086858564498,0.00014591908553555238,0.039402084631712665,0.00016941035599103265,0.3872818692857659,0.00016939086858617347
0.04,-378472.6504915543,0.002164468385394002,0.4,0.17961727330560126,0.006263868784759999,0.001478516088740524,0.0006506187778627557,0.0070101388667337785,0.0021644966325207213,0.4,0.0006506191583944287
0.045,-373605.6596082556,0.001756247975385434,0.4,0.16555212569163913,0.01018949831343286,0.0014786246899764718,0.0001703541012312079,0.01884732506221151,0.0017891316132325336,0.4,0.00021669255289587328
0.05,-370569.0942709628,0.00010082530927328984,0.4,0.1976353353114226,0.000961013958487975,0.00010082494350601554,3.1951374168279354e-05,0.0010163957137761244,0.00010633913159855474,0.4000000000000001,4.7314257776064865e-05
0.055,-365333.6560796499,0.0005842875361079137,0.4,0.1832220854955936,0.002367655729961572,0.00042165033851157866,0.0002174776377989025,0.012203117905961,0.0005842876758854499,0.4,0.0003994376801887686
0.06,-360789.9500673359,0.00011148133050614228,0.4,0.17950940806036075,0.0043049726444145744,0.00010286854385593922,7.993592053742225e-05,0.015699085453397,0.00011197582488186828,0.4,8.027222205490268e-05
0.065,-353636.6976243215,0.0009728834332402193,0.4,0.1124936988354702,0.017675127941960998,0.00086008960682849,0.0006723250630975965,0.06483086628192193,0.001636371336252308,0.4,0.000858637501236992
0.07,-351020.30602184427,0.0014536092466077694,0.4000000000000001,0.1710120881395276,0.002237310409911189,0.00138813086861676,0.0001797193827866627,0.021795992396296145,0.001453609250018825,0.4,0.0004795403062434906
0.075,-345293.5002719675,0.003112302636856014,0.4,0.15786282206523064,0.008145641779017219,0.0031123014061885798,0.0001992919548381174,0.0216424752204674,0.003112302636855734,0.4,0.00281286230054927
0.08,-341958.0685737893,0.00047088146295527403,0.4,0.16900733046563926,0.011955477399995505,0.0003338233559746206,0.0002829395858550145,0.01714514704311797,0.00047132666879194803,0.4,0.00033307401767068386
0.085,-336393.42476640217,0.0006515338197348228,0.4,0.14682950396694364,0.010003769214200979,0.0006515338190849745,1.982159220351197e-05,0.033913639743896815,0.007881325081426955,0.4,4.8872762519872496e-05
0.09,-332698.58148795785,0.0007319920262139007,0.4,0.16519123584073556,0.002436500496988607,0.0007319062970217616,0.00033936948564242635,0.02912498579344269,0.0007319920264017934,0.4,0.0007120180335615557
0.095,-327701.9846637397,0.0010177027175536544,0.4,0.14405329073751838,0.003449452239544151,0.0005059080536866237,8.472901206457533e-05,0.04945715417486698,0.0010177039301562632,0.4,0.0004140591346155539
0.1,-322874.255431498,0.0012849192479996428,0.4,0.16576540460690015,0.011399059054767437,0.0008543627080373269,0.0008520183268304075,0.012240012647705715,0.006750063624518454,0.4,0.0008541597832445456
0.105,-319465.0408169554,0.0008325014112906496,0.4,0.18912210131597995,0.001859345065615816,0.0004524371701975124,0.00045092215366191786,0.005515592286588239,0.0013161769088702196,0.4,0.00045092368780037784
0.11,-314834.40666921635,0.0002818184768239208,0.4,0.18181311087783844,0.002008990733002223,0.00028181847681842066,0.00027616409752466594,0.013536691210089269,0.0015814375606546089,0.3999437976154489,0.00027617095180595475
