lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.0,-1648.9392663969281,0.0003957887296625212,0.4,0.18037794784400532,0.008212984865481035,0.00039578872966442925,0.0003395056267857625,0.008271129381769092,0.0016672156964042694,0.4,0.00033963912623134133
0.005,-1562.0037711095981,0.0009895251692140098,0.4,0.18214698038919228,0.007420114893209312,0.0002903011373601739,0.00010614104463658556,0.007523514576843003,0.0012879701668661687,0.39999999972324957,0.0002354528994322276
0.01,-1475.580062134487,0.0003687960054310648,0.4,0.18326906033480678,0.00203998805858314,0.00016527781274902305,5.628892337475344e-05,0.013521897207909655,0.000458454718063456,0.4,0.00012023693908792828
0.015,-1387.675769296354,4.7081377535199194e-05,0.4,0.14179963016322453,0.002926910839245952,4.708135220661172e-05,1.3177915507490616e-05,0.0542002279137916,0.0009188090862886322,0.4,4.708135220417316e-05
0.02,-1302.0207017952362,8.248827825890656e-05,0.4,0.12199511256013386,0.012217412103357254,7.810157266832398e-05,6.17722264873817e-05,0.06464619251405414,0.0008408191723744138,0.4,7.810157266943768e-05
0.025,-1218.1108358165816,0.0004497631132142653,0.3999999999999988,0.07402428980128566,0.005731349941690856,0.00043571537088982627,0.00030496570060154415,0.11817259538609771,0.00044976302644003955,0.39999584231143426,0.0004357153483488553
0.03,-1136.3143217482807,0.0010231670337055858,0.3746743601142579,0.0850011904322466,0.02385029604433222,0.00014892079289008218,0.00013229512154633628,0.14334790823012586,0.00014967755118132386,0.371531911475601,0.0001402732041132445
0.035,-1057.6740667333238,0.00252087916985601,0.31870676060484765,0.0930364418635898,0.0766549361106545,0.0004859471015335637,0.00047713831105912507,0.17033781560615782,0.000487648661606923,0.33681524209504393,0.0004771904756518034
0.04,-985.4749220349231,0.00012103988155883085,0.27523168465940573,0.10152916570950593,0.13370420936237862,2.6628803436708185e-05,2.2551862682778523e-05,0.1771255935645477,2.662880343614989e-05,0.3121858706844278,2.662666862136432e-05
0.045,-912.7950746594519,0.0007500521297512949,0.24197915563858396,0.11137619170396199,0.15621078931684007,0.0006519289093087563,0.0006442137645555976,0.19442441417992234,0.0006519254995942524,0.2926602455902644,0.0006510832672171091
0.05,-842.5778503784661,0.0011260047648740462,0.21684642053308736,0.11798074087114813,0.17898685533554903,0.0009366727333311101,0.0006194617046672789,0.20219845122232188,0.0007327325467691951,0.27995320048477407,0.0006194598034794084
0.055,-773.815152094902,0.0023224967462284808,0.20211386747998933,0.11943905823830163,0.195848327420152,0.0017111075314095194,2.5045223349005033e-05,0.2086529420685756,2.5046286960762502e-05,0.26985869461242296,3.4143926101345084e-06
0.06,-705.4112654104855,0.00157824256859669,0.18790679256859208,0.1228311045358772,0.21027294377298195,0.0015782424550952227,0.0002851253853701773,0.2134743931916244,0.00028512409957807267,0.2616432002848286,0.00014483113745574914
0.065,-637.6870430452824,0.0008734963361487347,0.17755928314786024,0.12417922443691085,0.22223233350352417,0.0006584484824261183,0.00044574749348376614,0.2179082708542714,0.0004453114835666466,0.2552547217874948,0.00044316247431308255
0.07,-566.0996947447941,0.014478572435103398,0.15779687897790595,0.12451480233323008,0.23118045593596775,0.0023154421875943407,0.002092782754913502,0.21821309493238414,0.002092782066192097,0.24534723926061,0.0019679491160982457
0.075,-499.7764623061612,0.009511727609968358,0.15450057470269382,0.12591725390375055,0.23166083957743644,0.009486778478237232,0.0011442902733313344,0.2198059563915384,0.0011436315154401537,0.2456853160322198,0.0011436315153834987
